% Model:              PLacek_MembTVNJ_ArticleDims_Rh100um_hg10um_To2MHz_PHedit.mph
% Version:            COMSOL 6.3.0.335
% Date:               May 22 2025, 12:31
% Dimension:          1
% Nodes:              1801
% Expressions:        1
% Description:        Line graph
% Arc length (m)          imag(p)
0                         NaN
1.6835192320072636E-7     -0.023058284196095433
3.367038464014527E-7      -0.02305901730971506
5.050557696021791E-7      -0.023059046850977892
6.734076928029054E-7      -0.023058372819905346
8.417596160036319E-7      -0.02305699521647823
1.0101115392043582E-6     -0.02305323856295941
1.1801802473622774E-6     -0.023055644450637153
1.3502489555201964E-6     -0.02305809823860835
1.5203176636781154E-6     -0.02305892444911966
1.6903863718360344E-6     -0.023058123082158283
1.8604550799939534E-6     -0.023055694137739058
2.0305237881518723E-6     -0.023052186397334338
2.200592664946635E-6      -0.023055417296636627
2.370661541741397E-6      -0.023057002040803
2.5407304185361593E-6     -0.023057489411338967
2.710799295330922E-6      -0.023056879408214954
2.880868172125684E-6      -0.023055172031457575
3.0509370489204466E-6     -0.023052844139831975
3.2210059257152087E-6     -0.02305508333399265
3.3910748025099717E-6     -0.023056041512233855
3.5611436793047335E-6     -0.023056195533334996
3.731212556099496E-6      -0.02305554539729317
3.901281432894258E-6      -0.023054091104104283
4.07135030968902E-6       -0.023051982165231313
4.2414191864837825E-6     -0.023053250800028777
4.411488063278545E-6      -0.02305387969218333
4.581556940073307E-6      -0.023054018353135402
4.751625816868069E-6      -0.023053666782884983
4.921694693662831E-6      -0.02305282498143207
5.091763570457593E-6      -0.023051320357151232
5.261832447252356E-6      -0.023051184388713442
5.4319013240471185E-6     -0.023051033983773953
5.601970200841881E-6      -0.0230506965506868
5.772039077636643E-6      -0.023050172089466244
5.942107954431407E-6      -0.02304946060009916
6.112176831226169E-6      -0.023048469671797765
6.282245708020931E-6      -0.02304763164396569
6.452314584815693E-6      -0.023046894278221153
6.622383461610455E-6      -0.02304616516376667
6.7924523384052175E-6     -0.02304544430059427
6.96252121519998E-6       -0.023044731688711927
7.132590091994742E-6      -0.023043856359948205
7.302658968789505E-6      -0.023042417276874273
7.472727845584267E-6      -0.023041279961720697
7.642796722379028E-6      -0.02304027344631718
7.812865599173792E-6      -0.023039397730672845
7.982934475968554E-6      -0.02303865281477743
8.153003352763316E-6      -0.023037755194514745
8.323072229558079E-6      -0.02303585528387105
8.493141106352842E-6      -0.02303444973854849
8.663209983147605E-6      -0.02303325505441834
8.833278859942367E-6      -0.02303227123148288
9.003347736737129E-6      -0.023031498269743246
9.173416613531891E-6      -0.023030574397031697
9.343485490326653E-6      -0.023028315865464274
9.513554367121415E-6      -0.023026685077072093
9.683623243916178E-6      -0.023025320259679426
9.853692120710938E-6      -0.0230242214132914
1.00237609975057E-5       -0.023023388537909733
1.0193829874300462E-5     -0.023022421635715336
1.0363898751095225E-5     -0.023019885352093004
1.0533967627889988E-5     -0.02301804993555561
1.070403650468475E-5      -0.02301651538829947
1.0874105381479513E-5     -0.023015281710320596
1.1044174258274277E-5     -0.023014348901617278
1.1214243135069039E-5     -0.023013295186791915
1.1384312011863803E-5     -0.023010530797350954
1.1554380888658565E-5     -0.023008510024624305
1.1724449765453327E-5     -0.023006811093202392
1.1894518642248089E-5     -0.02300543400308693
1.2064587519042851E-5     -0.023004378754282483
1.2234656395837613E-5     -0.023003199836838642
1.2404725272632376E-5     -0.023000232721755085
1.257479414942714E-5      -0.02299804475799546
1.27448630262219E-5       -0.02299619043558998
1.2914931903016664E-5     -0.02299466975456145
1.3085000779811424E-5     -0.022993482714888207
1.3255069656606186E-5     -0.022992159932209155
1.3425138533400948E-5     -0.022989008321413516
1.3595207410195712E-5     -0.02298666441624584
1.3765276286990473E-5     -0.022984658832331355
1.3935345163785237E-5     -0.02298299156966835
1.4105414040579997E-5     -0.0229816626282745
1.427548291737476E-5      -0.022980182047495225
1.4445551794169521E-5     -0.02297686707336595
1.4615620670964285E-5     -0.022974377162386043
1.4785689547759046E-5     -0.022972222353915172
1.495575842455381E-5      -0.0229704026479619
1.5125827301348572E-5     -0.02296891804451881
1.5295896178143334E-5     -0.022967257557698628
1.5465965054938098E-5     -0.02296379710135489
1.5636033931732858E-5     -0.022961171536422693
1.580610280852762E-5      -0.022958869877011925
1.5976171685322383E-5     -0.022956892123137392
1.6146240562117146E-5     -0.022955238274789982
1.6316309438911907E-5     -0.022953371096153315
1.648637831570667E-5      -0.02294977454096771
1.665644719250143E-5      -0.022947021994800133
1.6826516069296195E-5     -0.022944576221821646
1.6996584946090956E-5     -0.022942437222040805
1.716665382288572E-5      -0.022940604995459322
1.733672269968048E-5      -0.022938516571893223
1.7506791576475244E-5     -0.022934790314552908
1.7676860453270008E-5     -0.02293191155615902
1.7846929330064768E-5     -0.022929317326537295
1.8016998206859532E-5     -0.02292700762569285
1.8187067083654292E-5     -0.022924982453623413
1.8357135960449056E-5     -0.022922614743191946
1.852720483724382E-5      -0.022918735174763824
1.8697273714038584E-5     -0.022915742478112344
1.8867342590833344E-5     -0.022913009586098196
1.9037411467628108E-5     -0.022910536498716817
1.9207480344422872E-5     -0.022908323215978466
1.9377549221217633E-5     -0.022905692179157507
1.9547618098012396E-5     -0.022901655531094196
1.9717686974807157E-5     -0.022898536158609945
1.9887755851601917E-5     -0.02289565650296657
2.005782472839668E-5      -0.022893016564166913
2.0227893605191438E-5     -0.022890616342213257
2.0397962481986202E-5     -0.022887730907623454
2.0568031358780966E-5     -0.022883526146837585
2.073810023557573E-5      -0.022880270156427775
2.090816911237049E-5      -0.022877238006900467
2.1078237989165254E-5     -0.022874429698255663
2.1248306865960018E-5     -0.022871845230508184
2.141837574275478E-5      -0.022868719406945525
2.1588444619549542E-5     -0.022864338908876843
2.1758513496344303E-5     -0.02286093572283128
2.1928582373139063E-5     -0.02285774465209291
2.2098651249933827E-5     -0.022854765696675407
2.2268720126728584E-5     -0.02285199885657764
2.2438789003523348E-5     -0.0228486461002112
2.2608857880318112E-5     -0.022844083025716066
2.2778926757112876E-5     -0.022840521732206125
2.2948995633907636E-5     -0.022837164188082695
2.3119064510702397E-5     -0.02283401039336004
2.3289133387497164E-5     -0.02283106034802846
2.3459202264291924E-5     -0.022827478756252975
2.3629271141086688E-5     -0.022822716697857875
2.379934001788145E-5      -0.02281898844925336
2.396940889467621E-5      -0.02281545871459476
2.4139477771470973E-5     -0.022812127493882645
2.4309546648265737E-5     -0.022808994787115306
2.4479615525060497E-5     -0.02280518958221861
2.464968440185526E-5      -0.02280022115051252
2.481975327865002E-5      -0.022796318545468184
2.4989822155444785E-5     -0.022792610754999495
2.515989103223955E-5      -0.0227890977790962
2.532995990903431E-5      -0.02278577961777197
2.5500028785829074E-5     -0.022781745766420697
2.5670097662623834E-5     -0.022776562975915602
2.5840166539418598E-5     -0.02277248164723714
2.6010235416213362E-5     -0.022768591275788296
2.6180304293008122E-5     -0.022764891861563382
2.6350373169802883E-5     -0.022761383404569232
2.6520442046597647E-5     -0.02275710807615233
2.669051092339241E-5      -0.022751699257723506
2.686057980018717E-5      -0.022747435693597804
2.703064867698193E-5      -0.022743359555121693
2.7200717553776692E-5     -0.022739470842307718
2.7370786430571456E-5     -0.022735769555145613
2.7540855307366216E-5     -0.022731254504892218
2.771092418416098E-5      -0.022725616991917524
2.7880993060955744E-5     -0.02272116487447055
2.8051061937750504E-5     -0.022716896963802437
2.8221130814545265E-5     -0.02271281325992059
2.839119969134003E-5      -0.02270891376282616
2.8561268568134793E-5     -0.022704148063882622
2.8731337444929556E-5     -0.022698268970613642
2.890140632172432E-5      -0.022693622596281122
2.907147519851908E-5      -0.022689158532254255
2.9241544075313845E-5     -0.022684876778533605
2.9411612952108605E-5     -0.022680777335127734
2.958168182890337E-5      -0.022675761449978533
2.975175070569813E-5      -0.022669631538974326
2.9921819582492897E-5     -0.022664783133444114
3.0091888459287654E-5     -0.022660117481336062
3.0261957336082418E-5     -0.022655634582654165
3.0432026212877178E-5     -0.02265133443739443
3.060209508967194E-5      -0.02264608457434459
3.07721639664667E-5       -0.02263970666288656
3.0942232843261466E-5     -0.02263464429961711
3.111230172005623E-5      -0.022629765013298303
3.1282370596850994E-5     -0.022625068803957506
3.145243947364575E-5      -0.022620555671575338
3.1622508350440515E-5     -0.022615017061126293
3.179257722723528E-5      -0.022608349121699924
3.196264610403004E-5      -0.02260307282597894
3.21327149808248E-5       -0.02259797961892643
3.2302783857619563E-5     -0.022593069500536696
3.247285273441433E-5      -0.022588342470816005
3.264292161120909E-5      -0.022582535865660794
3.2812990488003855E-5     -0.022575587218163665
3.298305936479862E-5      -0.022570085244412837
3.315312824159338E-5      -0.022564767280300754
3.332319711838814E-5      -0.022559633325825702
3.3493265995182904E-5     -0.022554683380987674
3.366333487197767E-5      -0.022548590011401585
3.383340374877243E-5      -0.022541342293112346
3.400347262556719E-5      -0.022535607437043297
3.417354150236195E-5      -0.022530058008784264
3.434361037915671E-5      -0.022524694008330674
3.4513679255951466E-5     -0.022519515435695085
3.468374813274623E-5      -0.022513138324401542
3.4853817009540994E-5     -0.022505587228153188
3.502388588633576E-5      -0.022499608213208802
3.519395476313052E-5      -0.02249381731309586
3.5364023639925286E-5     -0.022488214527817223
3.553409251672005E-5      -0.022482799857366613
3.5704161393514813E-5     -0.022476123050302776
3.587423027030958E-5      -0.022468249098259185
3.604429914710434E-5      -0.022462017173511307
3.6214368023899105E-5     -0.022455977024611627
3.638443690069387E-5      -0.02245012865155444
3.655450577748863E-5      -0.022444472054346586
3.672457465428339E-5      -0.022437490763616303
3.6894643531078154E-5     -0.022429283338986993
3.706471240787292E-5      -0.02242278867356701
3.7234781284667675E-5     -0.02241649029798118
3.740485016146244E-5      -0.022410388212234622
3.7574919038257195E-5     -0.022404482416325634
3.774498791505196E-5      -0.022397197582272647
3.791505679184672E-5      -0.02238865343013588
3.808512566864148E-5      -0.022381885695419927
3.8255194545436244E-5     -0.02237531905014038
3.842526342223101E-5      -0.022368953494284118
3.8595332299025765E-5     -0.02236278902785628
3.876540117582053E-5      -0.022355185780163947
