% Model:              PLacek_MembTVNJ_ArticleDims_Rh100um_hg10um_To2MHz_PHedit.mph
% Version:            COMSOL 6.3.0.420
% Date:               Aug 12 2025, 09:40
% Dimension:          1
% Nodes:              1801
% Expressions:        1
% Description:        Line graph
% Arc length (m)          imag(p)
0                         NaN
1.6835192320072636E-7     -0.0051830245778881345
3.367038464014527E-7      -0.005182559280144919
5.050557696021791E-7      -0.005183498586689624
6.734076928029054E-7      -0.005185842497533999
8.417596160036319E-7      -0.005189591012676364
1.0101115392043582E-6     -0.0051906677914171865
1.1801802473622774E-6     -0.0051887113240838304
1.3502489555201964E-6     -0.0051898868810529575
1.5203176636781154E-6     -0.005190118121607887
1.6903863718360344E-6     -0.005189405045752438
1.8604550799939534E-6     -0.00518774765348825
2.0305237881518723E-6     -0.005184914297113565
2.200592664946635E-6      -0.00519007445835252
2.370661541741397E-6      -0.005193752171151643
2.5407304185361593E-6     -0.005195715787827912
2.710799295330922E-6      -0.005195965308366359
2.880868172125684E-6      -0.005194500732771431
3.0509370489204466E-6     -0.005190938408696408
3.2210059257152087E-6     -0.005197072781542213
3.3910748025099717E-6     -0.005201702383015422
3.5611436793047335E-6     -0.005204443560754112
3.731212556099496E-6      -0.00520529631476481
3.901281432894258E-6      -0.005204260645045954
4.07135030968902E-6       -0.005201056620333737
4.2414191864837825E-6     -0.005207904861785594
4.411488063278545E-6      -0.005213081473104407
4.581556940073307E-6      -0.005216306523007933
4.751625816868069E-6      -0.005217580011486415
4.921694693662831E-6      -0.005216901938560587
5.091763570457593E-6      -0.005213950751660065
5.261832447252356E-6      -0.005221210302676014
5.4319013240471185E-6     -0.005226769533397314
5.601970200841881E-6      -0.005230306891265373
5.772039077636643E-6      -0.0052318223762785636
5.942107954431407E-6      -0.005231315988445424
6.112176831226169E-6      -0.005228593738949263
6.282245708020931E-6      -0.005236564411186847
6.452314584815693E-6      -0.00524261116856677
6.622383461610455E-6      -0.005246540022276003
6.7924523384052175E-6     -0.005248350972301535
6.96252121519998E-6       -0.005248044018659223
7.132590091994742E-6      -0.005245473546621575
7.302658968789505E-6      -0.005254150444835356
7.472727845584267E-6      -0.005260748901081469
7.642796722379028E-6      -0.005265123300644213
7.812865599173792E-6      -0.005267273643517082
7.982934475968554E-6      -0.005267199929704145
8.153003352763316E-6      -0.005264792057739802
8.323072229558079E-6      -0.005274206434506019
8.493141106352842E-6      -0.0052814019008867695
8.663209983147605E-6      -0.005286268355421337
8.833278859942367E-6      -0.005288805798103217
9.003347736737129E-6      -0.005289014228944608
9.173416613531891E-6      -0.0052868166361648185
9.343485490326653E-6      -0.005296941221247394
9.513554367121415E-6      -0.005304722948554152
9.683623243916178E-6      -0.0053100848062995285
9.853692120710938E-6      -0.00531302679449084
1.00237609975057E-5       -0.00531354891312524
1.0193829874300462E-5     -0.005311612620327289
1.0363898751095225E-5     -0.005322407035497501
1.0533967627889988E-5     -0.005330746990264857
1.070403650468475E-5      -0.0053365939427413136
1.0874105381479513E-5     -0.0053399478929203655
1.1044174258274277E-5     -0.005340808840816243
1.1214243135069039E-5     -0.005339179730240022
1.1384312011863803E-5     -0.005350602093296338
1.1554380888658565E-5     -0.0053594747653950975
1.1724449765453327E-5     -0.005365800690377868
1.1894518642248089E-5     -0.005369579868251155
1.2064587519042851E-5     -0.005370812299001137
1.2234656395837613E-5     -0.0053695386550837165
1.2404725272632376E-5     -0.005381543532146494
1.257479414942714E-5      -0.005390927160848045
1.27448630262219E-5       -0.005397730213616627
1.2914931903016664E-5     -0.005401952690465249
1.3085000779811424E-5     -0.005403594591386188
1.3255069656606186E-5     -0.0054027292491768825
1.3425138533400948E-5     -0.005415269885629166
1.3595207410195712E-5     -0.005425141676951141
1.3765276286990473E-5     -0.005432417955931711
1.3935345163785237E-5     -0.005437098722579006
1.4105414040579997E-5     -0.0054391839768893665
1.427548291737476E-5      -0.005438778097789609
1.4445551794169521E-5     -0.005451814587605883
1.4615620670964285E-5     -0.005462153027344272
1.4785689547759046E-5     -0.005469897795928746
1.495575842455381E-5      -0.005475048893379634
1.5125827301348572E-5     -0.0054776063196778245
1.5295896178143334E-5     -0.005477704101408801
1.5465965054938098E-5     -0.005491204046919301
1.5636033931732858E-5     -0.0055019913867152435
1.580610280852762E-5      -0.005510200147361377
1.5976171685322383E-5     -0.005515830328865019
1.6146240562117146E-5     -0.005518881931230233
1.6316309438911907E-5     -0.005519515280278012
1.648637831570667E-5      -0.005533457661669577
1.665644719250143E-5      -0.005544684863361035
1.6826516069296195E-5     -0.005553357211164431
1.6996584946090956E-5     -0.005559474705100091
1.716665382288572E-5      -0.005563037345153788
