% Model:              ModelMicPlate_Rh100um_hg10um_Refined_MaterialDefPolySilicon.mph
% Version:            COMSOL 6.3.0.335
% Date:               May 21 2025, 14:32
% Dimension:          1
% Nodes:              708
% Expressions:        1
% Description:        Line graph
% Arc length (m)          imag(p)
0                         -0.03467960678044937
4.2016806722688943E-7     -0.03468063344249805
8.403361344537784E-7      -0.03468190651990021
1.260504201680668E-6      -0.034683426012655845
1.6806722689075569E-6     -0.034685191920764975
2.1008403361344462E-6     -0.03468720424422758
2.521008403361336E-6      -0.03468946298304367
2.941176470588225E-6      -0.034691968137213244
3.361344537815116E-6      -0.0346951788893525
3.781512605042006E-6      -0.03469883080120781
4.2016806722688975E-6     -0.03470292387277915
4.621848739495788E-6      -0.03470745810406656
5.0420168067226796E-6     -0.034712433495070014
5.46218487394957E-6       -0.03471785004578951
5.882352941176461E-6      -0.03472370775622507
6.302521008403353E-6      -0.03472996989211319
6.722689075630246E-6      -0.03473666576731641
7.1428571428571385E-6     -0.03474379538183474
7.563025210084031E-6      -0.03475135873566818
7.983193277310924E-6      -0.03475935582881674
8.403361344537817E-6      -0.0347677866612804
8.823529411764708E-6      -0.034776651233059175
9.2436974789916E-6        -0.03478596918323279
9.66386554621849E-6       -0.03479573083186867
1.0084033613445381E-5     -0.03480593617896679
1.0504201680672271E-5     -0.03481658522452716
1.0924369747899162E-5     -0.034827677968549804
1.1344537815126054E-5     -0.03483921441103469
1.1764705882352944E-5     -0.03485119455198183
1.2184873949579835E-5     -0.03486363343582507
1.2605042016806726E-5     -0.03487652259570781
1.3025210084033616E-5     -0.03488986203163004
1.3445378151260506E-5     -0.03490365174359177
1.3865546218487399E-5     -0.034917891731593
1.4285714285714289E-5     -0.034932581995633726
1.470588235294118E-5      -0.03494772253571394
1.5126050420168068E-5     -0.034963312883284435
1.5546218487394955E-5     -0.03497937839235932
1.5966386554621844E-5     -0.034995919062938564
1.638655462184873E-5      -0.035012934895022205
1.6806722689075617E-5     -0.03503042588861023
1.7226890756302507E-5     -0.03504839204370263
1.7647058823529393E-5     -0.03506683336029941
1.8067226890756286E-5     -0.035085636272199405
1.8487394957983176E-5     -0.035104945536566526
1.8907563025210073E-5     -0.035124761153400776
1.9327731092436962E-5     -0.035145083122702155
1.974789915966386E-5      -0.03516591144447066
2.0168067226890752E-5     -0.03518724611870629
2.0588235294117642E-5     -0.035209087145409046
2.1008403361344535E-5     -0.03523126414782821
2.1428571428571425E-5     -0.03525396611191678
2.1848739495798315E-5     -0.03527719303767474
2.2268907563025204E-5     -0.0353009449251021
2.2689075630252094E-5     -0.035325221774198855
2.3109243697478987E-5     -0.035350023584965
2.3529411764705877E-5     -0.03537535035740055
2.394957983193277E-5      -0.03540103444459087
2.436974789915966E-5      -0.03542727455096529
2.478991596638655E-5      -0.03545407067652378
2.521008403361344E-5      -0.03548142282126639
2.5630252100840332E-5     -0.03550933098519308
2.6050420168067226E-5     -0.035537795168303854
2.6470588235294115E-5     -0.03556681537059873
2.6890756302521005E-5     -0.035596110624245225
2.7310924369747895E-5     -0.035626009375325465
2.7731092436974788E-5     -0.03565651162383943
2.8151260504201674E-5     -0.03568761736978715
2.8571428571428567E-5     -0.0357193266131686
2.899159663865546E-5      -0.03575163935398379
2.941176470588235E-5      -0.03578455559223271
2.983193277310924E-5      -0.03581781883867574
3.025210084033613E-5      -0.03585168262287865
3.067226890756302E-5      -0.03588614694484142
3.109243697478991E-5      -0.035921211804564084
3.1512605042016806E-5     -0.03595687720204663
3.1932773109243696E-5     -0.03599314313728904
3.2352941176470585E-5     -0.03603000961029133
3.2773109243697475E-5     -0.036067524432399085
3.3193277310924365E-5     -0.03610565556611989
3.3613445378151255E-5     -0.03614440301145371
3.4033613445378144E-5     -0.036183766768400585
3.445378151260504E-5      -0.03622374683696048
3.487394957983193E-5      -0.03626434321713343
3.529411764705882E-5      -0.0363055559089194
3.571428571428571E-5      -0.03634740422421824
3.61344537815126E-5       -0.03638995188735627
3.6554621848739496E-5     -0.03643319889833346
3.697478991596638E-5      -0.03647714525714985
3.7394957983193276E-5     -0.036521790963805416
3.781512605042017E-5      -0.03656713601830016
3.8235294117647055E-5     -0.03661318042063409
3.8655462184873945E-5     -0.036659813293963305
3.907563025210084E-5      -0.036707197543658546
3.949579831932773E-5      -0.03675533316971979
3.991596638655462E-5      -0.03680422017214707
4.033613445378151E-5      -0.036853858550940366
4.075630252100841E-5      -0.03690424830609969
4.11764705882353E-5       -0.036955389437625025
4.1596638655462194E-5     -0.03700729351136725
