% Model:              ModelMicPlate_Rh100um_hg10um_Refined_MaterialDefPolySilicon.mph
% Version:            COMSOL 6.3.0.420
% Date:               Aug 12 2025, 09:08
% Dimension:          1
% Nodes:              708
% Expressions:        1
% Description:        Line graph
% Arc length (m)          imag(p)
0                         -0.006709965163113573
4.2016806722688943E-7     -0.0067106975385907534
8.403361344537784E-7      -0.006711720551808735
1.260504201680668E-6      -0.006713034202767515
1.6806722689075569E-6     -0.006714638491467099
2.1008403361344462E-6     -0.006716533417907481
2.521008403361336E-6      -0.006718718982088667
2.941176470588225E-6      -0.006721195184010651
3.361344537815116E-6      -0.006724257679282845
3.781512605042006E-6      -0.006727736154506195
4.2016806722688975E-6     -0.006731630609680695
4.621848739495788E-6      -0.006735941044806352
5.0420168067226796E-6     -0.0067406674598831625
5.46218487394957E-6       -0.0067458098549111264
5.882352941176461E-6      -0.006751368229890244
6.302521008403353E-6      -0.006757341624769825
6.722689075630246E-6      -0.006763726775855568
7.1428571428571385E-6     -0.0067705236831474645
7.563025210084031E-6      -0.006777732346645522
7.983193277310924E-6      -0.006785352766349737
8.403361344537817E-6      -0.006793384942260109
8.823529411764708E-6      -0.006801828874376639
9.2436974789916E-6        -0.006810725547996249
9.66386554621849E-6       -0.006820044343556221
1.0084033613445381E-5     -0.006829785261056552
1.0504201680672271E-5     -0.006839948300497246
1.0924369747899162E-5     -0.006850533461878304
1.1344537815126054E-5     -0.0068615407451997215
1.1764705882352944E-5     -0.006872970150461502
1.2184873949579835E-5     -0.006884863674662886
1.2605042016806726E-5     -0.00689718872868782
1.3025210084033616E-5     -0.006909945312536301
1.3445378151260506E-5     -0.006923133426208332
1.3865546218487399E-5     -0.006936753069703912
1.4285714285714289E-5     -0.00695080424302304
1.470588235294118E-5      -0.006965286946165716
1.5126050420168068E-5     -0.006980226265027954
1.5546218487394955E-5     -0.006995623032206182
1.5966386554621844E-5     -0.007011477247700394
1.638655462184873E-5      -0.007027788911510597
1.6806722689075617E-5     -0.0070445580236367855
1.7226890756302507E-5     -0.007061784584078962
1.7647058823529393E-5     -0.007079468592837126
1.8067226890756286E-5     -0.007097544060545802
1.8487394957983176E-5     -0.007116107005518767
1.8907563025210073E-5     -0.007135157427756015
1.9327731092436962E-5     -0.007154695327257552
1.974789915966386E-5      -0.007174720704023375
2.0168067226890752E-5     -0.007195233558053485
2.0588235294117642E-5     -0.007216233889347881
2.1008403361344535E-5     -0.007237623212040181
2.1428571428571425E-5     -0.007259520421023666
2.1848739495798315E-5     -0.007281925516298329
2.2268907563025204E-5     -0.007304838497864178
2.2689075630252094E-5     -0.00732825936572121
2.3109243697478987E-5     -0.0073521881198694225
2.3529411764705877E-5     -0.00737662476030882
2.394957983193277E-5      -0.007401480951470378
2.436974789915966E-5      -0.007426878922501476
2.478991596638655E-5      -0.007452818673402112
2.521008403361344E-5      -0.007479300204172287
2.5630252100840332E-5     -0.0075063235148120026
2.6050420168067226E-5     -0.007533888605321257
2.6470588235294115E-5     -0.007561995475700051
2.6890756302521005E-5     -0.007590463050999217
2.7310924369747895E-5     -0.007619518706143173
2.7731092436974788E-5     -0.007649162441131912
2.8151260504201674E-5     -0.007679394255965442
2.8571428571428567E-5     -0.007710214150643758
2.899159663865546E-5      -0.007741622125166861
2.941176470588235E-5      -0.007773618179534752
2.983193277310924E-5      -0.007806087809041401
3.025210084033613E-5      -0.007839144248366188
3.067226890756302E-5      -0.007872787497509106
3.109243697478991E-5      -0.007907017556470162
3.1512605042016806E-5     -0.007941834425249351
3.1932773109243696E-5     -0.007977238103846674
3.2352941176470585E-5     -0.008013228592262132
3.2773109243697475E-5     -0.00804997955179353
3.3193277310924365E-5     -0.008087345829422788
3.3613445378151255E-5     -0.008125327425149903
3.4033613445378144E-5     -0.008163924338974877
3.445378151260504E-5      -0.00820313657089771
3.487394957983193E-5      -0.008242964120918404
3.529411764705882E-5      -0.008283406989036953
3.571428571428571E-5      -0.008324578242756592
3.61344537815126E-5       -0.008366451003491163
3.6554621848739496E-5     -0.008409025271240662
3.697478991596638E-5      -0.008452301046005094
3.7394957983193276E-5     -0.008496278327784462
3.781512605042017E-5      -0.008540957116578759
3.8235294117647055E-5     -0.008586337412387988
3.8655462184873945E-5     -0.008632453137305596
3.907563025210084E-5      -0.008679319061672477
3.949579831932773E-5      -0.008726935185488631
3.991596638655462E-5      -0.00877530150875406
4.033613445378151E-5      -0.008824418031468764
4.075630252100841E-5      -0.008874284753632741
4.11764705882353E-5       -0.00892490167524599
4.1596638655462194E-5     -0.008976458458928364
4.2016806722689084E-5     -0.009028837017379217
4.2436974789915967E-5     -0.009082037350598543
4.285714285714286E-5      -0.00913605945858635
4.327731092436975E-5      -0.009190903341342632
4.369747899159664E-5      -0.009246568998867393
4.411764705882353E-5      -0.009303056431160632
4.453781512605042E-5      -0.009360516781362797
4.495798319327731E-5      -0.009418913976708325
4.53781512605042E-5       -0.009478248017197212
4.5798319327731085E-5     -0.009538518902829463
4.621848739495798E-5      -0.009599726633605078
4.6638655462184864E-5     -0.009661871209524052
4.7058823529411754E-5     -0.00972495263058639
4.747899159663865E-5      -0.009789036764999884
4.789915966386554E-5      -0.009854180398645817
4.831932773109242E-5      -0.009920383531524187
4.873949579831932E-5      -0.009987646163634997
4.915966386554621E-5      -0.010055968294978249
4.95798319327731E-5       -0.010125349925553938
4.999999999999999E-5      -0.010195791055362065
5.042016806722688E-5      -0.010267348394118756
5.0840336134453775E-5     -0.010340110912442352
5.1260504201680665E-5     -0.01041407861033285
5.1680672268907555E-5     -0.010489251487790254
5.210084033613445E-5      -0.010565629544814562
5.252100840336134E-5      -0.010643212781405774
5.294117647058823E-5      -0.010722001197563889
5.336134453781512E-5      -0.010802048967065832
5.378151260504201E-5      -0.010883481202166912
5.420168067226891E-5      -0.010966297902867126
5.462184873949579E-5      -0.01105049906916648
5.5042016806722686E-5     -0.011136084701064971
5.546218487394958E-5      -0.011223054798562598
5.5882352941176466E-5     -0.011311409361659358
5.6302521008403355E-5     -0.011401198719584924
5.6722689075630245E-5     -0.01149259679569272
5.714285714285714E-5      -0.011585603589982741
5.7563025210084025E-5     -0.011680219102454998
5.798319327731092E-5      -0.01177644333310948
5.840336134453782E-5      -0.011874276281946193
5.88235294117647E-5       -0.011973717948965137
5.92436974789916E-5       -0.012074802533592367
5.966386554621848E-5      -0.012177781762200026
6.008403361344538E-5      -0.01228265563478811
6.050420168067226E-5      -0.012389424151356625
6.0924369747899156E-5     -0.012498087311905569
6.134453781512605E-5      -0.012608645116434936
6.176470588235294E-5      -0.012721097564944737
6.218487394957983E-5      -0.012835434570903506
6.260504201680672E-5      -0.012952039166542893
6.302521008403361E-5      -0.01307091135186289
6.34453781512605E-5       -0.013192051126863506
6.386554621848739E-5      -0.01331545849154474
6.428571428571429E-5      -0.013441133445906583
6.470588235294117E-5      -0.013569075989949045
6.512605042016805E-5      -0.013699178765273622
6.554621848739495E-5      -0.013832046894815674
6.596638655462185E-5      -0.013967680378575195
6.638655462184873E-5      -0.014106079216552197
6.680672268907563E-5      -0.014247243408746672
6.722689075630252E-5      -0.014391172955158618
6.76470588235294E-5       -0.014537867855788042
6.806722689075629E-5      -0.014687043631855919
6.848739495798319E-5      -0.014839658871999131
6.890756302521008E-5      -0.014995713576217668
6.932773109243696E-5      -0.015155207744511538
6.974789915966386E-5      -0.015318141376880742
7.016806722689076E-5      -0.015484514473325274
7.058823529411764E-5      -0.015654327033845134
7.100840336134452E-5      -0.015827065489814895
7.142857142857142E-5      -0.016004141041378175
7.184873949579832E-5      -0.016185553688534964
7.22689075630252E-5       -0.016371303431285268
7.26890756302521E-5       -0.01656139026962909
7.310924369747899E-5      -0.01675581420356642
7.352941176470588E-5      -0.01695457523309727
7.394957983193276E-5      -0.01715708744389683
7.436974789915967E-5      -0.017365108920423363
7.478991596638655E-5      -0.017578639662676858
7.521008403361343E-5      -0.017797679670657332
7.563025210084034E-5      -0.01802222894436477
7.605042016806723E-5      -0.018252287483799184
7.647058823529412E-5      -0.018487855288960565
7.689075630252102E-5      -0.018728815603222898
7.73109243697479E-5       -0.018976532469370602
7.773109243697479E-5      -0.019231005887403667
7.815126050420167E-5      -0.01949223585732211
7.857142857142857E-5      -0.01976022237912592
7.899159663865546E-5      -0.0200349654528151
7.941176470588235E-5      -0.02031646507838965
7.983193277310923E-5      -0.020610069677903044
8.025210084033613E-5      -0.020911211526340984
8.067226890756302E-5      -0.02121989062370346
8.10924369747899E-5       -0.021536106969990476
8.151260504201682E-5      -0.02185986056520204
8.19327731092437E-5       -0.022191151409338146
8.23529411764706E-5       -0.02252997950239879
8.277310924369749E-5      -0.02288754750051058
8.319327731092437E-5      -0.02325547581830051
8.361344537815127E-5      -0.02363376445576857
8.403361344537815E-5      -0.02402241341291478
8.445378151260505E-5      -0.024421422689739132
8.487394957983195E-5      -0.024830792286241625
8.529411764705883E-5      -0.025250522202422254
8.571428571428573E-5      -0.02568627280758251
8.613445378151261E-5      -0.026137341750178563
8.655462184873949E-5      -0.026603729030210403
8.697478991596639E-5      -0.027085434647678045
8.739495798319329E-5      -0.02758245860258148
8.781512605042018E-5      -0.028094800894920707
8.823529411764706E-5      -0.028622461524695726
8.865546218487395E-5      -0.029168582961554345
8.907563025210084E-5      -0.02973613471048807
8.949579831932774E-5      -0.03032511677149688
8.991596638655461E-5      -0.030935529144580802
9.033613445378152E-5      -0.031567371829739836
9.075630252100842E-5      -0.03222064482697396
9.11764705882353E-5       -0.032895348136283184
9.15966386554622E-5       -0.03360095277002215
9.201680672268908E-5      -0.03433857402099451
9.243697478991596E-5      -0.035108211889200255
9.285714285714286E-5      -0.03590986637463941
