% Model:              PLacek_MembTVNJ_ArticleDims_Rh20um_hg5um_To2MHz_PHedit.mph
% Version:            COMSOL 6.3.0.335
% Date:               May 22 2025, 10:55
% Dimension:          1
% Nodes:              708
% Expressions:        1
% Description:        Line graph
% Arc length (m)          real(p)
0                         NaN
4.2780521530280657E-7     -0.08181684016935784
8.556104306056131E-7      -0.08198921904632837
1.2834156459084197E-6     -0.08216513413772944
1.7112208612112263E-6     -0.08234134230626117
2.139026076514033E-6      -0.08251480530427364
2.5668312918168394E-6     -0.08268267384515705
2.994636507119646E-6      -0.08284227313795173
3.4224417224224526E-6     -0.08299890210565879
3.85024693772526E-6       -0.08313497307446134
4.278052153028066E-6      -0.08328014463091074
4.705857368330872E-6      -0.08346326573239199
5.133662583633679E-6      -0.08371240314678581
5.561467798936486E-6      -0.08405486778359839
5.989273014239292E-6      -0.0845172399685716
6.410088963256641E-6      -0.08471142238806295
6.830904912273991E-6      -0.08505788498566691
7.25172086129134E-6       -0.08555032304986672
7.672536810308689E-6      -0.0861827015411121
8.09335275932604E-6       -0.08694924082595103
8.514168708343389E-6      -0.08784440330734805
8.934984657360738E-6      -0.0888628808861312
9.335662524497946E-6      -0.0884619903870957
9.736340391635153E-6      -0.08886237680786493
1.0137018258772359E-5     -0.0898166304525985
1.0537696125909567E-5     -0.09107401443179777
1.0938373993046773E-5     -0.09238040854304115
1.1339051860183981E-5     -0.09347825201199057
1.1739729727321188E-5     -0.09410648506660944
1.2124875559851212E-5     -0.09388283559760328
1.2510021392381236E-5     -0.09497463205620006
1.289516722491126E-5      -0.09680574303201536
1.3280313057441285E-5     -0.09875914184465553
1.366545888997131E-5      -0.10017321242668902
1.4050604722501333E-5     -0.10033764740654255
1.4435750555031359E-5     -0.09848888488622105
1.481289903671961E-5      -0.10527805821310031
1.519004751840786E-5      -0.10817823637257265
1.5567196000096113E-5     -0.10846085817920822
1.5944344481784364E-5     -0.10768244132950117
1.6321492963472616E-5     -0.1077692266921446
1.6698641445160864E-5     -0.11113388519863976
1.7075789926849116E-5     -0.12083941138819546
