% Model:              ModelMicPlate_Rh100um_hg10um_Refined_MaterialDefPolySilicon.mph
% Version:            COMSOL 6.3.0.335
% Date:               May 21 2025, 14:31
% Dimension:          1
% Nodes:              708
% Expressions:        1
% Description:        Line graph
% Arc length (m)          real(p)
0                         -0.014652221195207406
4.2016806722688943E-7     -0.014651144457961044
8.403361344537784E-7      -0.014649512993745591
1.260504201680668E-6      -0.014647326802561037
1.6806722689075569E-6     -0.014644585884407393
2.1008403361344462E-6     -0.01464129023928465
2.521008403361336E-6      -0.014637439867192816
2.941176470588225E-6      -0.014633034768131886
3.361344537815116E-6      -0.014627658711716089
3.781512605042006E-6      -0.014621569212944352
4.2016806722688975E-6     -0.01461476627181667
4.621848739495788E-6      -0.014607249888333049
5.0420168067226796E-6     -0.014599020062493487
5.46218487394957E-6       -0.01459007679429798
5.882352941176461E-6      -0.014580420083746536
6.302521008403353E-6      -0.014570030141069413
6.722689075630246E-6      -0.014558948714568379
7.1428571428571385E-6     -0.014547175804243426
7.563025210084031E-6      -0.014534711410094566
7.983193277310924E-6      -0.01452155553212179
8.403361344537817E-6      -0.0145077081703251
8.823529411764708E-6      -0.014493169324704498
9.2436974789916E-6        -0.014477873374014138
9.66386554621849E-6       -0.014461896332680062
1.0084033613445381E-5     -0.01444523820070226
1.0504201680672271E-5     -0.014427898978080738
1.0924369747899162E-5     -0.014409878664815495
1.1344537815126054E-5     -0.014391177260906529
1.1764705882352944E-5     -0.014371794766353842
1.2184873949579835E-5     -0.014351676755526985
1.2605042016806726E-5     -0.014330898586832407
1.3025210084033616E-5     -0.014309460260270098
1.3445378151260506E-5     -0.014287361775840068
1.3865546218487399E-5     -0.014264603133542312
1.4285714285714289E-5     -0.014241184333376828
1.470588235294118E-5      -0.01421710537534362
1.5126050420168068E-5     -0.014192327883794417
1.5546218487394955E-5     -0.014166903442002759
1.5966386554621844E-5     -0.014140832049968638
1.638655462184873E-5      -0.014114113707692066
1.6806722689075617E-5     -0.014086748415173034
1.7226890756302507E-5     -0.014058736172411544
1.7647058823529393E-5     -0.014030076979407599
1.8067226890756286E-5     -0.014000822391190226
1.8487394957983176E-5     -0.013970937842452444
1.8907563025210073E-5     -0.013940423333194247
1.9327731092436962E-5     -0.013909278863415645
1.974789915966386E-5      -0.013877504433116635
2.0168067226890752E-5     -0.013845100042297212
2.0588235294117642E-5     -0.013812065690957382
2.1008403361344535E-5     -0.013778486449485294
2.1428571428571425E-5     -0.013744312772245307
2.1848739495798315E-5     -0.013709544659237414
2.2268907563025204E-5     -0.013674182110461619
2.2689075630252094E-5     -0.013638225125917927
2.3109243697478987E-5     -0.013601673705606328
2.3529411764705877E-5     -0.013564527849526829
2.394957983193277E-5      -0.013526848604183114
2.436974789915966E-5      -0.013488612494219416
2.478991596638655E-5      -0.013449819519635725
2.521008403361344E-5      -0.01341046968043205
2.5630252100840332E-5     -0.013370562976608389
2.6050420168067226E-5     -0.013330099408164738
2.6470588235294115E-5     -0.0132890789751011
2.6890756302521005E-5     -0.013247590702058706
2.7310924369747895E-5     -0.013205581306409045
2.7731092436974788E-5     -0.013163050788152102
2.8151260504201674E-5     -0.01311999914728789
2.8571428571428567E-5     -0.01307642638381641
2.899159663865546E-5      -0.01303233249773765
2.941176470588235E-5      -0.012987717489051621
2.983193277310924E-5      -0.012942664856532456
3.025210084033613E-5      -0.012897149899536973
3.067226890756302E-5      -0.012851172618065164
3.109243697478991E-5      -0.01280473301211704
3.1512605042016806E-5     -0.0127578310816926
3.1932773109243696E-5     -0.012710466826791837
3.2352941176470585E-5     -0.012662640247414758
3.2773109243697475E-5     -0.012614322167203406
3.3193277310924365E-5     -0.01256560523817581
3.3613445378151255E-5     -0.012516489460331957
3.4033613445378144E-5     -0.012466974833671861
3.445378151260504E-5      -0.01241706135819552
3.487394957983193E-5      -0.01236674903390293
3.529411764705882E-5      -0.01231603786079409
3.571428571428571E-5      -0.012264886966449357
3.61344537815126E-5       -0.012213383939388724
3.6554621848739496E-5     -0.012161528779612176
3.697478991596638E-5      -0.01210932148711973
