% Model:              PLacek_MembTVNJ_ArticleDims_Rh100um_hg10um_To2MHz_PHedit.mph
% Version:            COMSOL 6.3.0.335
% Date:               May 22 2025, 12:28
% Dimension:          1
% Nodes:              1801
% Expressions:        1
% Description:        Line graph
% Arc length (m)          imag(xi)
0                         2.8072863381434553E-11
1.6835192320072636E-7     2.807285999034305E-11
3.367038464014527E-7      2.807284981714362E-11
5.050557696021791E-7      2.807283286183627E-11
6.734076928029054E-7      2.8072809124421E-11
8.417596160036319E-7      2.8072778604897815E-11
1.0101115392043582E-6     2.8072741303266703E-11
1.1801802473622774E-6     2.8072696734156564E-11
1.3502489555201964E-6     2.8072645243972658E-11
1.5203176636781154E-6     2.8072586832714993E-11
1.6903863718360344E-6     2.8072521500383577E-11
1.8604550799939534E-6     2.8072449246978403E-11
2.0305237881518723E-6     2.8072370072499477E-11
2.200592664946635E-6      2.8072283976050872E-11
2.370661541741397E-6      2.80721909586363E-11
2.5407304185361593E-6     2.8072091020255768E-11
2.710799295330922E-6      2.807198416090927E-11
2.880868172125684E-6      2.8071870380596815E-11
3.0509370489204466E-6     2.8071749679318393E-11
3.2210059257152087E-6     2.8071622056636988E-11
3.3910748025099717E-6     2.8071487513208807E-11
3.5611436793047335E-6     2.8071346049033853E-11
3.731212556099496E-6      2.8071197664112132E-11
3.901281432894258E-6      2.8071042358443642E-11
4.07135030968902E-6       2.8070880132028382E-11
4.2414191864837825E-6     2.807071098443815E-11
4.411488063278545E-6      2.8070534916313716E-11
4.581556940073307E-6      2.8070351927655096E-11
4.751625816868069E-6      2.8070162018462286E-11
4.921694693662831E-6      2.806996518873528E-11
5.091763570457593E-6      2.8069761438474087E-11
5.261832447252356E-6      2.8069550767649954E-11
5.4319013240471185E-6     2.806933317644856E-11
5.601970200841881E-6      2.80691086648699E-11
5.772039077636643E-6      2.8068877232913976E-11
5.942107954431407E-6      2.806863888058079E-11
6.112176831226169E-6      2.8068393607870342E-11
6.282245708020931E-6      2.8068141414860693E-11
6.452314584815693E-6      2.8067882301571374E-11
6.622383461610455E-6      2.8067616268002363E-11
6.7924523384052175E-6     2.8067343314153672E-11
6.96252121519998E-6       2.8067063440025303E-11
7.132590091994742E-6      2.8066776645617253E-11
7.302658968789505E-6      2.8066482931027127E-11
7.472727845584267E-6      2.8066182296181918E-11
7.642796722379028E-6      2.806587474108161E-11
7.812865599173792E-6      2.8065560265726216E-11
7.982934475968554E-6      2.8065238870115736E-11
8.153003352763316E-6      2.8064910554250164E-11
8.323072229558079E-6      2.806457531824246E-11
8.493141106352842E-6      2.806423316197733E-11
8.663209983147605E-6      2.8063884085454776E-11
8.833278859942367E-6      2.80635280886748E-11
9.003347736737129E-6      2.8063165171637404E-11
9.173416613531891E-6      2.806279533434259E-11
9.343485490326653E-6      2.806241857694876E-11
9.513554367121415E-6      2.8062034899302935E-11
9.683623243916178E-6      2.8061644301405115E-11
9.853692120710938E-6      2.80612467832553E-11
1.00237609975057E-5       2.806084234485349E-11
1.0193829874300462E-5     2.8060430986199685E-11
1.0363898751095225E-5     2.806001270749321E-11
1.0533967627889988E-5     2.8059587508552345E-11
1.070403650468475E-5      2.8059155389377077E-11
1.0874105381479513E-5     2.805871634996741E-11
1.1044174258274277E-5     2.8058270390323348E-11
1.1214243135069039E-5     2.8057817510444885E-11
1.1384312011863803E-5     2.8057357710553213E-11
1.1554380888658565E-5     2.8056890990450177E-11
1.1724449765453327E-5     2.8056417350135796E-11
1.1894518642248089E-5     2.805593678961006E-11
1.2064587519042851E-5     2.805544930887297E-11
1.2234656395837613E-5     2.8054954907924533E-11
1.2404725272632376E-5     2.805445358699523E-11
1.257479414942714E-5      2.805394534587944E-11
1.27448630262219E-5       2.8053430184577155E-11
1.2914931903016664E-5     2.8052908103088383E-11
1.3085000779811424E-5     2.8052379101413125E-11
1.3255069656606186E-5     2.8051843179551378E-11
1.3425138533400948E-5     2.805130033773989E-11
1.3595207410195712E-5     2.8050750575768878E-11
1.3765276286990473E-5     2.8050193893638353E-11
1.3935345163785237E-5     2.8049630291348304E-11
1.4105414040579997E-5     2.8049059768898742E-11
1.427548291737476E-5      2.8048482326289663E-11
1.4445551794169521E-5     2.8047897963760682E-11
1.4615620670964285E-5     2.8047306681101475E-11
1.4785689547759046E-5     2.8046708478312047E-11
1.495575842455381E-5      2.8046103355392394E-11
1.5125827301348572E-5     2.804549131234252E-11
1.5295896178143334E-5     2.804487234916242E-11
1.5465965054938098E-5     2.8044246466088138E-11
1.5636033931732858E-5     2.8043613662912846E-11
1.580610280852762E-5      2.8042973939636552E-11
1.5976171685322383E-5     2.8042327296259257E-11
1.6146240562117146E-5     2.8041673732780962E-11
1.6316309438911907E-5     2.8041013249201663E-11
1.648637831570667E-5      2.8040345845746523E-11
1.665644719250143E-5      2.8039671522215362E-11
1.6826516069296195E-5     2.8038990278608175E-11
1.6996584946090956E-5     2.8038302114924962E-11
1.716665382288572E-5      2.803760703116573E-11
1.733672269968048E-5      2.8036905027330478E-11
1.7506791576475244E-5     2.8036196103631396E-11
