% Model:              PLacek_MembTVNJ_ArticleDims_Rh100um_hg10um_To2MHz_PHedit.mph
% Version:            COMSOL 6.3.0.420
% Date:               Aug 12 2025, 09:39
% Dimension:          1
% Nodes:              1801
% Expressions:        1
% Description:        Line graph
% Arc length (m)          imag(xi)
0                         2.3582803583546134E-11
1.6835192320072636E-7     2.358277491148303E-11
3.367038464014527E-7      2.3582688897537395E-11
5.050557696021791E-7      2.358254554170922E-11
6.734076928029054E-7      2.3582344843998513E-11
8.417596160036319E-7      2.358208680440527E-11
1.0101115392043582E-6     2.3581771422929494E-11
1.1801802473622774E-6     2.3581394606106804E-11
1.3502489555201964E-6     2.358095928020192E-11
1.5203176636781154E-6     2.3580465445214834E-11
1.6903863718360344E-6     2.357991310114555E-11
1.8604550799939534E-6     2.3579302247994078E-11
2.0305237881518723E-6     2.3578632885760403E-11
2.200592664946635E-6      2.357790501812203E-11
2.370661541741397E-6      2.3577118657733072E-11
2.5407304185361593E-6     2.3576273804593517E-11
2.710799295330922E-6      2.357537045870337E-11
2.880868172125684E-6      2.3574408620062634E-11
3.0509370489204466E-6     2.3573388288671303E-11
3.2210059257152087E-6     2.3572309473162023E-11
3.3910748025099717E-6     2.3571172189682376E-11
3.5611436793047335E-6     2.3569976438232357E-11
3.731212556099496E-6      2.3568722218811976E-11
3.901281432894258E-6      2.3567409531421228E-11
4.07135030968902E-6       2.3566038376060113E-11
4.2414191864837825E-6     2.3564608765556876E-11
4.411488063278545E-6      2.3563120720158597E-11
4.581556940073307E-6      2.3561574239865273E-11
4.751625816868069E-6      2.355996932467691E-11
4.921694693662831E-6      2.3558305974593508E-11
5.091763570457593E-6      2.355658418961507E-11
5.261832447252356E-6      2.355480398667089E-11
5.4319013240471185E-6     2.355296539003482E-11
5.601970200841881E-6      2.3551068399706876E-11
5.772039077636643E-6      2.3549113015687038E-11
5.942107954431407E-6      2.354709923797533E-11
6.112176831226169E-6      2.354502706657173E-11
6.282245708020931E-6      2.3542896522397633E-11
6.452314584815693E-6      2.3540707633894196E-11
6.622383461610455E-6      2.3538460401061418E-11
6.7924523384052175E-6     2.3536154823899303E-11
6.96252121519998E-6       2.3533790902407854E-11
7.132590091994742E-6      2.3531368636587068E-11
7.302658968789505E-6      2.35288880513617E-11
7.472727845584267E-6      2.352634917934833E-11
7.642796722379028E-6      2.352375202054695E-11
7.812865599173792E-6      2.3521096574957572E-11
7.982934475968554E-6      2.3518382842580195E-11
8.153003352763316E-6      2.3515610823414814E-11
8.323072229558079E-6      2.3512780546404468E-11
8.493141106352842E-6      2.3509892048354462E-11
8.663209983147605E-6      2.3506945329264793E-11
8.833278859942367E-6      2.3503940389135464E-11
9.003347736737129E-6      2.350087722796647E-11
9.173416613531891E-6      2.3497755845757815E-11
9.343485490326653E-6      2.349457627549877E-11
9.513554367121415E-6      2.349133855816238E-11
9.683623243916178E-6      2.3488042693748643E-11
9.853692120710938E-6      2.348468868225756E-11
1.00237609975057E-5       2.3481276523689137E-11
1.0193829874300462E-5     2.3477806218043365E-11
1.0363898751095225E-5     2.3474277802366598E-11
1.0533967627889988E-5     2.3470691321778618E-11
1.070403650468475E-5      2.3467046776279415E-11
1.0874105381479513E-5     2.3463344165868997E-11
1.1044174258274277E-5     2.3459583490547365E-11
1.1214243135069039E-5     2.3455764750314515E-11
1.1384312011863803E-5     2.345188798627622E-11
1.1554380888658565E-5     2.3447953247683384E-11
1.1724449765453327E-5     2.344396053453601E-11
1.1894518642248089E-5     2.3439909846834092E-11
1.2064587519042851E-5     2.3435801184577642E-11
1.2234656395837613E-5     2.343163454776665E-11
1.2404725272632376E-5     2.3427409981571228E-11
1.257479414942714E-5      2.3423127539357884E-11
1.27448630262219E-5       2.3418787221126616E-11
1.2914931903016664E-5     2.3414389026877428E-11
1.3085000779811424E-5     2.3409932956610315E-11
1.3255069656606186E-5     2.340541901032528E-11
1.3425138533400948E-5     2.3400847237265578E-11
1.3595207410195712E-5     2.3396217694894343E-11
1.3765276286990473E-5     2.3391530383211582E-11
1.3935345163785237E-5     2.3386785302217292E-11
1.4105414040579997E-5     2.3381982451911475E-11
1.427548291737476E-5      2.337712183229413E-11
1.4445551794169521E-5     2.3372203496688322E-11
1.4615620670964285E-5     2.3367227506635408E-11
1.4785689547759046E-5     2.336219386213539E-11
1.495575842455381E-5      2.335710256318827E-11
1.5125827301348572E-5     2.335195360979405E-11
1.5295896178143334E-5     2.3346747001952726E-11
1.5465965054938098E-5     2.33414827970709E-11
1.5636033931732858E-5     2.3336161060750733E-11
1.580610280852762E-5      2.333078179299223E-11
1.5976171685322383E-5     2.332534499379539E-11
1.6146240562117146E-5     2.3319850663160214E-11
1.6316309438911907E-5     2.33142988010867E-11
1.648637831570667E-5      2.3308689469063992E-11
