% Model:              ModelMicPlate_Rh20um_hg5um_Refined_MaterialDefPolySilicon.mph
% Version:            COMSOL 6.3.0.335
% Date:               May 21 2025, 13:45
% Dimension:          1
% Nodes:              708
% Expressions:        1
% Description:        Line graph
% Arc length (m)          imag(w2)
0                         2.7489729876554573E-11
4.0816326530612243E-7     2.7489612520441888E-11
8.163265306122445E-7      2.748926052055373E-11
1.224489795918367E-6      2.748867387689008E-11
1.632653061224489E-6      2.748785258945095E-11
2.0408163265306117E-6     2.7486796658236345E-11
2.448979591836734E-6      2.7485506083246255E-11
2.857142857142856E-6      2.7483980864480683E-11
3.265306122448978E-6      2.7482221007992298E-11
3.6734693877551007E-6     2.748022657579996E-11
4.0816326530612225E-6     2.7477997567903643E-11
4.489795918367345E-6      2.7475533984303374E-11
4.897959183673468E-6      2.7472835824999145E-11
5.30612244897959E-6       2.746990308999095E-11
5.714285714285712E-6      2.7466735779278792E-11
6.1224489795918346E-6     2.746333393474547E-11
6.530612244897958E-6      2.74596976524403E-11
6.9387755102040806E-6     2.7455826932363267E-11
7.3469387755102015E-6     2.745172177451438E-11
7.755102040816326E-6      2.744738217889364E-11
8.163265306122448E-6      2.7442808145501044E-11
8.571428571428571E-6      2.7437999674336595E-11
8.979591836734694E-6      2.743295683460314E-11
9.387755102040816E-6      2.7427679766953437E-11
9.795918367346939E-6      2.7422168471387482E-11
1.020408163265306E-5      2.741642294790528E-11
1.0612244897959184E-5     2.741044319650684E-11
1.1020408163265308E-5     2.7404229217192143E-11
1.1428571428571429E-5     2.7397781009961195E-11
1.1836734693877552E-5     2.7391098666800818E-11
1.2244897959183674E-5     2.738418237667049E-11
1.2653061224489795E-5     2.7377032139570194E-11
1.3061224489795918E-5     2.7369647955499953E-11
1.346938775510204E-5      2.7362029824459755E-11
1.3877551020408165E-5     2.7354177746449603E-11
1.4285714285714285E-5     2.7346091721469493E-11
1.4693877551020408E-5     2.7337771879891274E-11
1.510204081632653E-5      2.7329218447742117E-11
1.5510204081632655E-5     2.7320431425021996E-11
1.5918367346938776E-5     2.731141081173093E-11
1.63265306122449E-5       2.7302156607868924E-11
1.6734693877551024E-5     2.7292668813435956E-11
1.7142857142857145E-5     2.7282947428432043E-11
1.755102040816327E-5      2.7272992623475688E-11
1.795918367346939E-5      2.7262804671823687E-11
1.8367346938775515E-5     2.7252383573476007E-11
1.8775510204081636E-5     2.724172932843268E-11
1.9183673469387756E-5     2.72308419366937E-11
1.959183673469388E-5      2.7219721398259045E-11
2.0E-5                    2.7208367713128743E-11
2.042553191489362E-5      2.719628272244579E-11
2.0851063829787234E-5     2.7183944949716204E-11
2.1276595744680852E-5     2.7171354394939973E-11
2.1702127659574467E-5     2.7158511058117102E-11
2.212765957446808E-5      2.7145414939247598E-11
2.2553191489361703E-5     2.7132066038331444E-11
2.2978723404255317E-5     2.7118464355368657E-11
2.3404255319148935E-5     2.710460995492672E-11
2.382978723404255E-5      2.709050354673896E-11
2.4255319148936165E-5     2.707614513080536E-11
2.4680851063829783E-5     2.7061534707125934E-11
2.51063829787234E-5       2.704667227570069E-11
2.5531914893617015E-5     2.7031557836529605E-11
2.5957446808510633E-5     2.7016191389612698E-11
2.638297872340425E-5      2.7000573126200256E-11
2.6808510638297866E-5     2.698470381899743E-11
2.7234042553191484E-5     2.696858346800422E-11
2.7659574468085102E-5     2.695221207322063E-11
2.808510638297872E-5      2.6935589634646666E-11
2.8510638297872334E-5     2.6918716152282307E-11
2.8936170212765952E-5     2.6901591626127576E-11
2.936170212765957E-5      2.68842163583851E-11
2.9787234042553185E-5     2.686659123095361E-11
3.02127659574468E-5       2.6848716243833088E-11
3.063829787234042E-5      2.6830591397023547E-11
3.106382978723404E-5      2.681221669052499E-11
3.148936170212765E-5      2.67935921243374E-11
3.191489361702127E-5      2.6774717698460796E-11
3.2340425531914886E-5     2.6755593816775426E-11
3.2765957446808504E-5     2.673622149175576E-11
