% Model:              ModelMicPlate_Rh100um_hg10um_Refined_MaterialDefPolySilicon.mph
% Version:            COMSOL 6.3.0.335
% Date:               May 21 2025, 14:31
% Dimension:          1
% Nodes:              708
% Expressions:        1
% Description:        Line graph
% Arc length (m)          imag(w2)
0                         8.808358176292315E-14
4.2016806722688943E-7     8.808503877194579E-14
8.403361344537784E-7      8.808940774005055E-14
1.260504201680668E-6      8.809668866723737E-14
1.6806722689075569E-6     8.810688155350631E-14
2.1008403361344462E-6     8.811998639885735E-14
2.521008403361336E-6      8.813600320329046E-14
2.941176470588225E-6      8.815493196680567E-14
3.361344537815116E-6      8.817677379889464E-14
3.781512605042006E-6      8.820152638274327E-14
4.2016806722688975E-6     8.82291897183515E-14
4.621848739495788E-6      8.82597638057194E-14
5.0420168067226796E-6     8.829324864484693E-14
5.46218487394957E-6       8.832964423573411E-14
5.882352941176461E-6      8.836895057838091E-14
6.302521008403353E-6      8.84111682357837E-14
6.722689075630246E-6      8.845629429428864E-14
7.1428571428571385E-6     8.850432875389575E-14
7.563025210084031E-6      8.855527161460503E-14
7.983193277310924E-6      8.860912287641647E-14
8.403361344537817E-6      8.86658825393301E-14
8.823529411764708E-6      8.872555060334586E-14
9.2436974789916E-6        8.878812698043058E-14
9.66386554621849E-6       8.88536083257466E-14
1.0084033613445381E-5     8.892199463929387E-14
1.0504201680672271E-5     8.899328592107246E-14
1.0924369747899162E-5     8.906748217108231E-14
1.1344537815126054E-5     8.914458338932346E-14
1.1764705882352944E-5     8.922458957579587E-14
1.2184873949579835E-5     8.930750000129709E-14
1.2605042016806726E-5     8.939331097716731E-14
1.3025210084033616E-5     8.948202250340649E-14
1.3445378151260506E-5     8.957363458001467E-14
1.3865546218487399E-5     8.966814720699185E-14
1.4285714285714289E-5     8.9765560384338E-14
1.470588235294118E-5      8.986587411205312E-14
1.5126050420168068E-5     8.996908705594229E-14
1.5546218487394955E-5     9.007519528416166E-14
1.5966386554621844E-5     9.01841987967112E-14
1.638655462184873E-5      9.029609759359095E-14
1.6806722689075617E-5     9.04108916748009E-14
1.7226890756302507E-5     9.052858104034102E-14
1.7647058823529393E-5     9.064916569021135E-14
1.8067226890756286E-5     9.077264373412286E-14
1.8487394957983176E-5     9.0899011117339E-14
1.8907563025210073E-5     9.102826783985975E-14
1.9327731092436962E-5     9.116041390168518E-14
1.974789915966386E-5      9.129544930281524E-14
2.0168067226890752E-5     9.143337404324992E-14
2.0588235294117642E-5     9.157418812298926E-14
2.1008403361344535E-5     9.171788915957682E-14
2.1428571428571425E-5     9.186447311221875E-14
2.1848739495798315E-5     9.201393998091492E-14
2.2268907563025204E-5     9.216628976566546E-14
2.2689075630252094E-5     9.23215224664703E-14
2.3109243697478987E-5     9.247963808332945E-14
2.3529411764705877E-5     9.264063661624293E-14
2.394957983193277E-5      9.280451527077968E-14
2.436974789915966E-5      9.297127017128975E-14
2.478991596638655E-5      9.31409013177731E-14
2.521008403361344E-5      9.331340871022979E-14
2.5630252100840332E-5     9.348879234865977E-14
2.6050420168067226E-5     9.366705223306307E-14
2.6470588235294115E-5     9.384818836343966E-14
2.6890756302521005E-5     9.403219763002431E-14
2.7310924369747895E-5     9.421907648648535E-14
2.7731092436974788E-5     9.440882493282272E-14
2.8151260504201674E-5     9.460144296903647E-14
2.8571428571428567E-5     9.479693059512662E-14
2.899159663865546E-5      9.499528781109311E-14
2.941176470588235E-5      9.519651461693599E-14
2.983193277310924E-5      9.540060769975369E-14
3.025210084033613E-5      9.56075640190244E-14
3.067226890756302E-5      9.581738357474808E-14
3.109243697478991E-5      9.603006636692478E-14
3.1512605042016806E-5     9.62456123955545E-14
3.1932773109243696E-5     9.64640216606372E-14
3.2352941176470585E-5     9.66852941621729E-14
3.2773109243697475E-5     9.690942651125694E-14
3.3193277310924365E-5     9.713641636038741E-14
3.3613445378151255E-5     9.736626370956427E-14
3.4033613445378144E-5     9.759896855878756E-14
3.445378151260504E-5      9.783453090805726E-14
3.487394957983193E-5      9.80729507573734E-14
3.529411764705882E-5      9.831422810673593E-14
3.571428571428571E-5      9.855835963374167E-14
3.61344537815126E-5       9.88053438792682E-14
3.6554621848739496E-5     9.90551808433155E-14
3.697478991596638E-5      9.930787052588361E-14
3.7394957983193276E-5     9.95634129269725E-14
3.781512605042017E-5      9.982180804658217E-14
3.8235294117647055E-5     1.0008305588471263E-13
3.8655462184873945E-5     1.003471533412179E-13
3.907563025210084E-5      1.0061410004834703E-13
3.949579831932773E-5      1.0088389600609999E-13
3.991596638655462E-5      1.0115654121447683E-13
4.033613445378151E-5      1.0143203567347754E-13
4.075630252100841E-5      1.017103793831021E-13
4.11764705882353E-5       1.0199157234335052E-13
4.1596638655462194E-5     1.0227561184424193E-13
4.2016806722689084E-5     1.0256249881743083E-13
4.2436974789915967E-5     1.0285223326291711E-13
4.285714285714286E-5      1.0314481518070088E-13
4.327731092436975E-5      1.034402445707821E-13
4.369747899159664E-5      1.0373852143316076E-13
4.411764705882353E-5      1.0403964576783686E-13
4.453781512605042E-5      1.0434361543487734E-13
4.495798319327731E-5      1.0465043287480207E-13
4.53781512605042E-5       1.0496009808761098E-13
4.5798319327731085E-5     1.0527261107330415E-13
4.621848739495798E-5      1.0558797183188153E-13
4.6638655462184864E-5     1.0590618036334315E-13
4.7058823529411754E-5     1.0622723666768898E-13
4.747899159663865E-5      1.0655113936464573E-13
4.789915966386554E-5      1.0687789261198487E-13
4.831932773109242E-5      1.0720749640970632E-13
4.873949579831932E-5      1.0753995075781018E-13
4.915966386554621E-5      1.0787525565629642E-13
4.95798319327731E-5       1.0821341110516498E-13
4.999999999999999E-5      1.0855441710441593E-13
5.042016806722688E-5      1.0889827323113339E-13
5.0840336134453775E-5     1.0924498556331678E-13
5.1260504201680665E-5     1.0959455410096603E-13
5.1680672268907555E-5     1.0994697884408122E-13
5.210084033613445E-5      1.1030225979266233E-13
5.252100840336134E-5      1.106603969467093E-13
5.294117647058823E-5      1.1102139030622221E-13
5.336134453781512E-5      1.1138524060957422E-13
5.378151260504201E-5      1.1175195604736874E-13
