% Model:              ModelMicPlate_Rh100um_hg10um_Refined_MaterialDefPolySilicon.mph
% Version:            COMSOL 6.3.0.420
% Date:               Aug 12 2025, 09:08
% Dimension:          1
% Nodes:              708
% Expressions:        1
% Description:        Line graph
% Arc length (m)          imag(w2)
0                         1.4719219223872688E-11
4.2016806722688943E-7     1.4719122669961976E-11
8.403361344537784E-7      1.4718833471409992E-11
1.260504201680668E-6      1.471835162821673E-11
1.6806722689075569E-6     1.4717677140382203E-11
2.1008403361344462E-6     1.47168100079064E-11
2.521008403361336E-6      1.471575023078932E-11
2.941176470588225E-6      1.4714497809030972E-11
3.361344537815116E-6      1.4713052488406018E-11
3.781512605042006E-6      1.4711414792814003E-11
4.2016806722688975E-6     1.4709584722254922E-11
4.621848739495788E-6      1.4707562276728787E-11
5.0420168067226796E-6     1.470534745623559E-11
5.46218487394957E-6       1.470294026077533E-11
5.882352941176461E-6      1.4700340690348012E-11
6.302521008403353E-6      1.46975486035578E-11
6.722689075630246E-6      1.469456467440512E-11
7.1428571428571385E-6     1.4691388902889975E-11
7.563025210084031E-6      1.4688021289012367E-11
7.983193277310924E-6      1.4684461832772293E-11
8.403361344537817E-6      1.4680710534169753E-11
8.823529411764708E-6      1.4676767393204753E-11
9.2436974789916E-6        1.4672632403488328E-11
9.66386554621849E-6       1.4668306367895793E-11
1.0084033613445381E-5     1.4663789286427146E-11
1.0504201680672271E-5     1.465908115908239E-11
1.0924369747899162E-5     1.4654181985861525E-11
1.1344537815126054E-5     1.464909176676455E-11
1.1764705882352944E-5     1.4643810501791463E-11
1.2184873949579835E-5     1.4638338319968694E-11
1.2605042016806726E-5     1.4632676152945352E-11
1.3025210084033616E-5     1.462682400072143E-11
1.3445378151260506E-5     1.462078186329694E-11
1.3865546218487399E-5     1.461454974067187E-11
1.4285714285714289E-5     1.4608127632846224E-11
1.470588235294118E-5      1.4601515539820002E-11
1.5126050420168068E-5     1.459471372423493E-11
1.5546218487394955E-5     1.4587723246911573E-11
1.5966386554621844E-5     1.4580544107849922E-11
1.638655462184873E-5      1.4573176307049982E-11
1.6806722689075617E-5     1.4565619844511758E-11
1.7226890756302507E-5     1.4557874720235236E-11
1.7647058823529393E-5     1.454994093422043E-11
1.8067226890756286E-5     1.4541818881787582E-11
