% Model:              PLacek_MembTVNJ_ArticleDims_Rh20um_hg5um_To2MHz_PHedit.mph
% Version:            COMSOL 6.3.0.420
% Date:               Aug 12 2025, 09:51
% Dimension:          1
% Nodes:              708
% Expressions:        1
% Description:        Line graph
% Arc length (m)          real(xi)
0                         1.4770861890364999E-10
4.2780521530280657E-7     1.4770765749343333E-10
8.556104306056131E-7      1.477047675699226E-10
1.2834156459084197E-6     1.4769994913311782E-10
1.7112208612112263E-6     1.4769320218301902E-10
2.139026076514033E-6      1.4768452671962618E-10
2.5668312918168394E-6     1.476739227429393E-10
2.994636507119646E-6      1.4766139025295837E-10
3.4224417224224526E-6     1.4764692428502952E-10
3.85024693772526E-6       1.4763052638457022E-10
4.278052153028066E-6      1.4761219655158042E-10
4.705857368330872E-6      1.4759193478606014E-10
5.133662583633679E-6      1.4756974108800947E-10
5.561467798936486E-6      1.4754561545742827E-10
5.989273014239292E-6      1.4751955789431663E-10
6.410088963256641E-6      1.4749204163774644E-10
6.830904912273991E-6      1.4746265110990329E-10
7.25172086129134E-6       1.4743138631078707E-10
7.672536810308689E-6      1.4739824724039782E-10
8.09335275932604E-6       1.4736323389873563E-10
8.514168708343389E-6      1.4732634628580036E-10
8.934984657360738E-6      1.4728758440159207E-10
9.335662524497946E-6      1.4724893040197033E-10
9.736340391635153E-6      1.4720857007084465E-10
1.0137018258772359E-5     1.47166503408215E-10
1.0537696125909567E-5     1.471227304140813E-10
1.0938373993046773E-5     1.4707725108844375E-10
1.1339051860183981E-5     1.470300654313021E-10
1.1739729727321188E-5     1.4698117344265655E-10
1.2124875559851212E-5     1.469325640113248E-10
1.2510021392381236E-5     1.4688236826198409E-10
1.289516722491126E-5      1.4683058619463432E-10
1.3280313057441285E-5     1.4677721780927556E-10
1.366545888997131E-5      1.4672226310590784E-10
1.4050604722501333E-5     1.4666572208453106E-10
1.4435750555031359E-5     1.4660759474514528E-10
1.481289903671961E-5      1.4654912994025425E-10
1.519004751840786E-5      1.4648912949098343E-10
1.5567196000096113E-5     1.4642759339733283E-10
1.5944344481784364E-5     1.4636452165930244E-10
1.6321492963472616E-5     1.462999142768923E-10
1.6698641445160864E-5     1.462337712501023E-10
1.7075789926849116E-5     1.4616609257893259E-10
1.7433901167700504E-5     1.4610040390339305E-10
1.779201240855189E-5      1.4603331207771745E-10
1.8150123649403275E-5     1.4596481710190574E-10
1.850823489025466E-5      1.4589491897595797E-10
1.886634613110605E-5      1.4582361769987414E-10
1.9224457371957433E-5     1.457509132736542E-10
1.958256861280882E-5      1.4567680569729818E-10
1.9940481295372828E-5     1.4560132446394558E-10
2.0298393977936837E-5     1.4552442070483569E-10
2.0656306660500846E-5     1.454460944199684E-10
2.1014219343064855E-5     1.4536634560934378E-10
2.137213202562886E-5      1.452851742729619E-10
2.173004470819287E-5      1.4520258041082258E-10
2.208795739075688E-5      1.4511856402292597E-10
2.245944263531065E-5      1.450298440995331E-10
2.283092787986442E-5      1.4493957690819598E-10
2.3202413124418192E-5     1.4484776244891468E-10
2.3573898368971962E-5     1.4475440072168918E-10
2.3945383613525733E-5     1.446594917265195E-10
2.4316868858079504E-5     1.4456303546340557E-10
2.4688354102633274E-5     1.4446503193234748E-10
2.5091993018119224E-5     1.4435678537678305E-10
2.549563193360517E-5      1.442467032545713E-10
2.5899270849091118E-5     1.4413478556571225E-10
2.6302909764577068E-5     1.4402103231020595E-10
2.6706548680063018E-5     1.4390544348805237E-10
2.7110187595548965E-5     1.4378801909925147E-10
2.7513826511034915E-5     1.436687591438033E-10
2.793795334649159E-5      1.4354146297222788E-10
2.8362080181948263E-5     1.434121381146515E-10
2.8786207017404936E-5     1.432807845710742E-10
2.9210333852861612E-5     1.43147402341496E-10
2.9634460688318288E-5     1.430119914259169E-10
3.005858752377496E-5      1.428745518243368E-10
3.0482714359231637E-5     1.4273508353675585E-10
3.0910519574534446E-5     1.4259235006908235E-10
3.133832478983725E-5      1.42447559463178E-10
3.176613000514005E-5      1.4230071171904284E-10
3.219393522044286E-5      1.4215180683667684E-10
3.262174043574567E-5      1.420008448160801E-10
3.304954565104847E-5      1.418478256572525E-10
3.347735086635128E-5      1.4169274936019407E-10
3.3905156081654086E-5     1.4153562002766605E-10
3.4332961296956895E-5     1.413764482409157E-10
3.47607665122597E-5       1.4121523399994306E-10
3.518857172756251E-5      1.410519773047482E-10
3.5616376942865314E-5     1.4088667815533102E-10
3.604418215816812E-5      1.4071933655169156E-10
3.647198737347093E-5      1.405499524938298E-10
3.689979258877374E-5      1.403785339924374E-10
3.732759780407654E-5      1.40205094531155E-10
3.775540301937935E-5      1.4002963410998265E-10
3.818320823468215E-5      1.3985215272892028E-10
3.861101344998497E-5      1.3967265038796799E-10
3.903881866528777E-5      1.3949112708712563E-10
3.946662388059058E-5      1.393075828263933E-10
3.989442909589339E-5      1.3912202894578375E-10
4.032223431119619E-5      1.3893448151965386E-10
4.075003952649899E-5      1.3874494054800363E-10
4.117784474180181E-5      1.3855340603083312E-10
4.160564995710461E-5      1.3835987796814235E-10
4.203345517240741E-5      1.3816435635993118E-10
4.246126038771022E-5      1.3796684120619973E-10
4.288906560301303E-5      1.3776734678688992E-10
4.331687081831583E-5      1.3756589155394565E-10
4.374467603361863E-5      1.373624755073669E-10
4.417248124892144E-5      1.3715709864715366E-10
4.460028646422425E-5      1.3694976097330604E-10
4.502809167952706E-5      1.367404624858239E-10
4.545589689482986E-5      1.3652920318470734E-10
