% Model:              PLacek_MembTVNJ_ArticleDims_Rh20um_hg5um_To2MHz_PHedit.mph
% Version:            COMSOL 6.3.0.335
% Date:               May 22 2025, 10:54
% Dimension:          1
% Nodes:              708
% Expressions:        1
% Description:        Line graph
% Arc length (m)          real(xi)
0                         -2.7105747979618727E-11
4.2780521530280657E-7     -2.7104769392507452E-11
8.556104306056131E-7      -2.7101834989270997E-11
1.2834156459084197E-6     -2.7096944769909363E-11
1.7112208612112263E-6     -2.7090098734422535E-11
2.139026076514033E-6      -2.7081296882810548E-11
2.5668312918168394E-6     -2.707053921507336E-11
2.994636507119646E-6      -2.7057825731210998E-11
3.4224417224224526E-6     -2.7043156967033917E-11
3.85024693772526E-6       -2.7026538742618298E-11
4.278052153028066E-6      -2.7007971057964146E-11
4.705857368330872E-6      -2.6987453913071453E-11
5.133662583633679E-6      -2.6964987307940233E-11
5.561467798936486E-6      -2.694057124257047E-11
5.989273014239292E-6      -2.691420571696217E-11
6.410088963256641E-6      -2.6886373536782926E-11
6.830904912273991E-6      -2.6856666745277123E-11
7.25172086129134E-6       -2.6825085342444772E-11
7.672536810308689E-6      -2.6791629328285867E-11
8.09335275932604E-6       -2.6756298702800413E-11
8.514168708343389E-6      -2.6719093465988397E-11
8.934984657360738E-6      -2.6680013617849837E-11
9.335662524497946E-6      -2.66410680033507E-11
9.736340391635153E-6      -2.660043745144262E-11
1.0137018258772359E-5     -2.655812196212559E-11
1.0537696125909567E-5     -2.6514121535399603E-11
1.0938373993046773E-5     -2.646843617126469E-11
1.1339051860183981E-5     -2.6421065869720814E-11
1.1739729727321188E-5     -2.6372010630768E-11
1.2124875559851212E-5     -2.6323276493068624E-11
1.2510021392381236E-5     -2.62730015724899E-11
1.289516722491126E-5      -2.6221185869031816E-11
1.3280313057441285E-5     -2.6167829382694382E-11
1.366545888997131E-5      -2.6112932113477603E-11
1.4050604722501333E-5     -2.6056494061381458E-11
1.4435750555031359E-5     -2.599851522640597E-11
1.481289903671961E-5      -2.594025563586026E-11
1.519004751840786E-5      -2.588053508275623E-11
1.5567196000096113E-5     -2.581935356709388E-11
1.5944344481784364E-5     -2.5756711088873217E-11
1.6321492963472616E-5     -2.5692607648094242E-11
1.6698641445160864E-5     -2.562704324475695E-11
1.7075789926849116E-5     -2.556001787886134E-11
1.7433901167700504E-5     -2.5495034012532822E-11
1.779201240855189E-5      -2.5428744983019257E-11
1.8150123649403275E-5     -2.5361150790320648E-11
1.850823489025466E-5      -2.529225143443699E-11
1.886634613110605E-5      -2.52220469153683E-11
1.9224457371957433E-5     -2.5150537233114552E-11
1.958256861280882E-5      -2.5077722387675764E-11
1.9940481295372828E-5     -2.5003647178643973E-11
2.0298393977936837E-5     -2.4928275085160726E-11
2.0656306660500846E-5     -2.4851606107226014E-11
2.1014219343064855E-5     -2.477364024483985E-11
2.137213202562886E-5      -2.469437749800223E-11
2.173004470819287E-5      -2.4613817866713144E-11
2.208795739075688E-5      -2.45319613509726E-11
2.245944263531065E-5      -2.4445631026753152E-11
2.283092787986442E-5      -2.435791741464763E-11
2.3202413124418192E-5     -2.4268820514656026E-11
2.3573898368971962E-5     -2.417834032677835E-11
2.3945383613525733E-5     -2.40864768510146E-11
2.4316868858079504E-5     -2.3993230087364764E-11
2.4688354102633274E-5     -2.3898600035828856E-11
2.5091993018119224E-5     -2.379421909631341E-11
2.549563193360517E-5      -2.3688233056606566E-11
2.5899270849091118E-5     -2.3580641916708318E-11
2.6302909764577068E-5     -2.3471445676618672E-11
2.6706548680063018E-5     -2.3360644336337635E-11
2.7110187595548965E-5     -2.324823789586519E-11
2.7513826511034915E-5     -2.313422635520135E-11
2.793795334649159E-5      -2.301271366702821E-11
2.8362080181948263E-5     -2.2889471684786187E-11
2.8786207017404936E-5     -2.2764500408475274E-11
2.9210333852861612E-5     -2.263779983809548E-11
2.9634460688318288E-5     -2.250936997364681E-11
3.005858752377496E-5      -2.2379210815129244E-11
3.0482714359231637E-5     -2.2247322362542802E-11
3.0910519574534446E-5     -2.2112561236514564E-11
3.133832478983725E-5      -2.197609512809188E-11
3.176613000514005E-5      -2.1837924037274742E-11
3.219393522044286E-5      -2.169804796406315E-11
3.262174043574567E-5      -2.155646690845712E-11
3.304954565104847E-5      -2.1413180870456635E-11
3.347735086635128E-5      -2.1268189850061698E-11
3.3905156081654086E-5     -2.1121522341578315E-11
3.4332961296956895E-5     -2.0973213236590418E-11
3.47607665122597E-5       -2.0823262535098005E-11
3.518857172756251E-5      -2.0671670237101076E-11
3.5616376942865314E-5     -2.051843634259964E-11
3.604418215816812E-5      -2.0363560851593683E-11
3.647198737347093E-5      -2.0207043764083214E-11
3.689979258877374E-5      -2.0048917875968445E-11
3.732759780407654E-5      -1.9889221715224132E-11
3.775540301937935E-5      -1.9727955281850273E-11
3.818320823468215E-5      -1.9565118575846862E-11
3.861101344998497E-5      -1.9400711597213916E-11
3.903881866528777E-5      -1.9234734345951412E-11
3.946662388059058E-5      -1.9067186822059372E-11
3.989442909589339E-5      -1.889810578130701E-11
4.032223431119619E-5      -1.872753304709947E-11
4.075003952649899E-5      -1.8555468619436747E-11
4.117784474180181E-5      -1.838191249831885E-11
4.160564995710461E-5      -1.8206864683745772E-11
4.203345517240741E-5      -1.8030325175717507E-11
4.246126038771022E-5      -1.785229397423407E-11
4.288906560301303E-5      -1.7672811417572776E-11
4.331687081831583E-5      -1.7491922395257186E-11
4.374467603361863E-5      -1.73096269072873E-11
4.417248124892144E-5      -1.712592495366312E-11
4.460028646422425E-5      -1.6940816534384652E-11
4.502809167952706E-5      -1.675430164945188E-11
4.545589689482986E-5      -1.656638029886482E-11
4.588370211013267E-5      -1.6377096131572683E-11
4.631150732543547E-5      -1.618649682471137E-11
4.673931254073827E-5      -1.5994582378280877E-11
4.716711775604109E-5      -1.5801352792281205E-11
4.759492297134389E-5      -1.5606808066712353E-11
4.80227281866467E-5       -1.541094820157432E-11
4.845053340194951E-5      -1.5213773196867114E-11
4.8878338617252316E-5     -1.5015329722696252E-11
4.9306143832555124E-5     -1.481566798884666E-11
4.9733949047857926E-5     -1.461478799531833E-11
5.0161754263160735E-5     -1.4412689742111261E-11
5.0589559478463544E-5     -1.4209373229225466E-11
5.1017364693766346E-5     -1.4004838456660928E-11
5.1445169909069154E-5     -1.379908542441766E-11
5.187297512437196E-5      -1.3592163553612384E-11
5.230078033967478E-5      -1.3384125332347717E-11
5.272858555497758E-5      -1.3174970760623663E-11
5.315639077028039E-5      -1.296469983844022E-11
5.35841959855832E-5       -1.2753312565797397E-11
5.4012001200886006E-5     -1.2540808942695177E-11
5.4439806416188815E-5     -1.2327188969133572E-11
5.4867611631491624E-5     -1.2112504554125564E-11
5.529541684679443E-5      -1.1896810207931296E-11
5.5723222062097234E-5     -1.1680105930550772E-11
5.6151027277400036E-5     -1.1462391721983993E-11
5.657883249270284E-5      -1.124366758223096E-11
5.7006637708005654E-5     -1.102393351129167E-11
5.7434442923308456E-5     -1.0803189509166124E-11
5.786224813861127E-5      -1.0581489711390276E-11
5.829005335391407E-5      -1.0358890393102043E-11
5.8717858569216875E-5     -1.0135391554301425E-11
5.914566378451969E-5      -9.91099319498842E-12
5.957346899982249E-5      -9.685695315163036E-12
6.00012742151253E-5       -9.45949791482526E-12
6.042907943042811E-5      -9.232400993975104E-12
6.085688464573092E-5      -9.004460653685209E-12
6.128468986103373E-5      -8.775734675340063E-12
6.171249507633653E-5      -8.546223058939664E-12
