% Model:              ModelMicPlate_Rh20um_hg5um_Refined_MaterialDefPolySilicon.mph
% Version:            COMSOL 6.3.0.335
% Date:               May 21 2025, 13:46
% Dimension:          1
% Nodes:              708
% Expressions:        1
% Description:        Line graph
% Arc length (m)          real(w2)
0                         -9.971670785936464E-11
4.0816326530612243E-7     -9.971629667326824E-11
8.163265306122445E-7      -9.971506389316878E-11
1.224489795918367E-6      -9.971300951906622E-11
1.632653061224489E-6      -9.97101335509606E-11
2.0408163265306117E-6     -9.970643598885189E-11
2.448979591836734E-6      -9.97019168327401E-11
2.857142857142856E-6      -9.969657608262524E-11
3.265306122448978E-6      -9.96904138063248E-11
3.6734693877551007E-6     -9.968343070684697E-11
4.0816326530612225E-6     -9.967562678419172E-11
4.489795918367345E-6      -9.96670020383591E-11
4.897959183673468E-6      -9.965755646934907E-11
5.30612244897959E-6       -9.964729007716166E-11
5.714285714285712E-6      -9.963620286179684E-11
6.1224489795918346E-6     -9.962429530153106E-11
6.530612244897958E-6      -9.961156847424223E-11
6.9387755102040806E-6     -9.959802237993029E-11
7.3469387755102015E-6     -9.958365701859531E-11
7.755102040816326E-6      -9.956847239023727E-11
8.163265306122448E-6      -9.955246849485615E-11
8.571428571428571E-6      -9.953564533245194E-11
8.979591836734694E-6      -9.951800369931855E-11
9.387755102040816E-6      -9.949954515027435E-11
9.795918367346939E-6      -9.948026968531929E-11
1.020408163265306E-5      -9.946017730445343E-11
1.0612244897959184E-5     -9.943926800767676E-11
1.1020408163265308E-5     -9.941754179498925E-11
1.1428571428571429E-5     -9.939499866639093E-11
1.1836734693877552E-5     -9.937163969152042E-11
1.2244897959183674E-5     -9.934746691054421E-11
1.2653061224489795E-5     -9.932248032346223E-11
1.3061224489795918E-5     -9.929667993027455E-11
1.346938775510204E-5      -9.927006573098116E-11
1.3877551020408165E-5     -9.924263772558204E-11
1.4285714285714285E-5     -9.92143959140772E-11
1.4693877551020408E-5     -9.918534181239582E-11
1.510204081632653E-5      -9.915547776920027E-11
1.5510204081632655E-5     -9.912480378449047E-11
1.5918367346938776E-5     -9.909331985826649E-11
1.63265306122449E-5       -9.90610259905283E-11
1.6734693877551024E-5     -9.90279221812759E-11
1.7142857142857145E-5     -9.899400843050932E-11
1.755102040816327E-5      -9.895928671429768E-11
1.795918367346939E-5      -9.892375971857747E-11
1.8367346938775515E-5     -9.888742744334861E-11
1.8775510204081636E-5     -9.885028988861115E-11
1.9183673469387756E-5     -9.881234705436507E-11
1.959183673469388E-5      -9.877359894061039E-11
2.0E-5                    -9.873404554734709E-11
2.042553191489362E-5      -9.869195288294701E-11
2.0851063829787234E-5     -9.86489911689357E-11
2.1276595744680852E-5     -9.860516040531313E-11
2.1702127659574467E-5     -9.856046059207933E-11
2.212765957446808E-5      -9.85148917292343E-11
2.2553191489361703E-5     -9.846845381677799E-11
2.2978723404255317E-5     -9.842114685471045E-11
2.3404255319148935E-5     -9.837297213359223E-11
2.382978723404255E-5      -9.832393518564246E-11
2.4255319148936165E-5     -9.827403601086109E-11
2.4680851063829783E-5     -9.822327460924815E-11
2.51063829787234E-5       -9.817165098080368E-11
2.5531914893617015E-5     -9.811916512552759E-11
2.5957446808510633E-5     -9.806581704341995E-11
2.638297872340425E-5      -9.801160904299271E-11
2.6808510638297866E-5     -9.795654635530648E-11
2.7234042553191484E-5     -9.790062898036125E-11
2.7659574468085102E-5     -9.784385691815702E-11
2.808510638297872E-5      -9.778623016869383E-11
2.8510638297872334E-5     -9.772774873197163E-11
2.8936170212765952E-5     -9.766841260799044E-11
2.936170212765957E-5      -9.76082247708647E-11
2.9787234042553185E-5     -9.754719055050135E-11
3.02127659574468E-5       -9.748530994690038E-11
3.063829787234042E-5      -9.74225829600618E-11
3.106382978723404E-5      -9.735900958998564E-11
3.148936170212765E-5      -9.729458983667183E-11
3.191489361702127E-5      -9.722932370012044E-11
3.2340425531914886E-5     -9.716321458321451E-11
3.2765957446808504E-5     -9.70962680685984E-11
3.319148936170212E-5      -9.702848415627205E-11
3.361702127659574E-5      -9.69598628462355E-11
3.404255319148936E-5      -9.689040413848876E-11
3.4468085106382976E-5     -9.68201080330318E-11
3.4893617021276594E-5     -9.674897452986465E-11
3.531914893617021E-5      -9.667700739835569E-11
3.574468085106383E-5      -9.660421249781149E-11
3.617021276595744E-5      -9.653058982823202E-11
3.659574468085106E-5      -9.645613938961732E-11
3.702127659574468E-5      -9.63808611819674E-11
3.744680851063829E-5      -9.630475520528219E-11
3.7872340425531907E-5     -9.622782145956176E-11
3.8297872340425525E-5     -9.615006405610325E-11
3.8723404255319136E-5     -9.60714891285133E-11
3.914893617021275E-5      -9.599209667679189E-11
3.957446808510637E-5      -9.591188670093907E-11
3.999999999999998E-5      -9.583085920095482E-11
4.04255319148936E-5       -9.574901417683914E-11
4.085106382978722E-5      -9.566635162859201E-11
4.127659574468084E-5      -9.558287599388264E-11
