% Model:              ModelMicPlate_Rh20um_hg5um_Refined_MaterialDefPolySilicon.mph
% Version:            COMSOL 6.3.0.335
% Date:               May 21 2025, 13:50
% Dimension:          1
% Nodes:              708
% Expressions:        1
% Description:        Line graph
% Arc length (m)          real(w2)
0                         -3.7648104177003474E-12
4.0816326530612243E-7     -3.764631757795075E-12
8.163265306122445E-7      -3.764097162986831E-12
1.224489795918367E-6      -3.763206633275615E-12
1.632653061224489E-6      -3.7619601686614256E-12
2.0408163265306117E-6     -3.760357769144266E-12
2.448979591836734E-6      -3.7583994347241344E-12
2.857142857142856E-6      -3.756085165401031E-12
3.265306122448978E-6      -3.753415082069749E-12
3.6734693877551007E-6     -3.750390435077366E-12
4.0816326530612225E-6     -3.747011224423879E-12
4.489795918367345E-6      -3.74327745010929E-12
4.897959183673468E-6      -3.739189112133599E-12
5.30612244897959E-6       -3.734746210496803E-12
5.714285714285712E-6      -3.7299487451989056E-12
6.1224489795918346E-6     -3.724797568927353E-12
6.530612244897958E-6      -3.719294592087992E-12
6.9387755102040806E-6     -3.713439814680821E-12
7.3469387755102015E-6     -3.707233236705844E-12
7.755102040816326E-6      -3.700674858163058E-12
8.163265306122448E-6      -3.693764679052464E-12
8.571428571428571E-6      -3.6865026993740606E-12
8.979591836734694E-6      -3.678890339781529E-12
9.387755102040816E-6      -3.670930341748454E-12
9.795918367346939E-6      -3.662622705274834E-12
1.020408163265306E-5      -3.653967430360672E-12
1.0612244897959184E-5     -3.644964517005966E-12
1.1020408163265308E-5     -3.6356139652107157E-12
1.1428571428571429E-5     -3.6259157749749224E-12
1.1836734693877552E-5     -3.615871852442823E-12
1.2244897959183674E-5     -3.6054857763253285E-12
1.2653061224489795E-5     -3.5947575466224367E-12
1.3061224489795918E-5     -3.5836871633341507E-12
1.346938775510204E-5      -3.572274626460469E-12
1.3877551020408165E-5     -3.560519936001391E-12
1.4285714285714285E-5     -3.5484230919569167E-12
1.4693877551020408E-5     -3.535986782411449E-12
1.510204081632653E-5      -3.5232151074013355E-12
1.5510204081632655E-5     -3.510108066926574E-12
1.5918367346938776E-5     -3.4966656609871676E-12
1.63265306122449E-5       -3.4828878895831145E-12
1.6734693877551024E-5     -3.468774752714414E-12
1.7142857142857145E-5     -3.4543262503810683E-12
1.755102040816327E-5      -3.439545867943091E-12
1.795918367346939E-5      -3.424438274108419E-12
1.8367346938775515E-5     -3.40900346887705E-12
1.8775510204081636E-5     -3.3932414522489876E-12
1.9183673469387756E-5     -3.3771522242242287E-12
1.959183673469388E-5      -3.360735784802774E-12
2.0E-5                    -3.343992133984625E-12
2.042553191489362E-5      -3.3261897663809936E-12
2.0851063829787234E-5     -3.3080426125143367E-12
2.1276595744680852E-5     -3.289550672384657E-12
2.1702127659574467E-5     -3.270713945991953E-12
2.212765957446808E-5      -3.2515324333362262E-12
2.2553191489361703E-5     -3.2320061344174746E-12
2.2978723404255317E-5     -3.2121350492356993E-12
2.3404255319148935E-5     -3.1919213683615755E-12
2.382978723404255E-5      -3.1713748837305004E-12
2.4255319148936165E-5     -3.1504955953424738E-12
2.4680851063829783E-5     -3.129283503197496E-12
2.51063829787234E-5       -3.1077386072955677E-12
2.5531914893617015E-5     -3.085860907636686E-12
2.5957446808510633E-5     -3.0636504042208547E-12
2.638297872340425E-5      -3.0411110991849936E-12
