% Model:              ModelMicPlate_Rh100um_hg10um_Refined_MaterialDefPolySilicon.mph
% Version:            COMSOL 6.3.0.420
% Date:               Aug 12 2025, 09:08
% Dimension:          1
% Nodes:              708
% Expressions:        1
% Description:        Line graph
% Arc length (m)          real(w2)
0                         1.1242869844472398E-10
4.2016806722688943E-7     1.124280773739412E-10
8.403361344537784E-7      1.12426216673943E-10
1.260504201680668E-6      1.124231163447294E-10
1.6806722689075569E-6     1.1241877638630039E-10
2.1008403361344462E-6     1.12413196798656E-10
2.521008403361336E-6      1.1240637758179619E-10
2.941176470588225E-6      1.1239831873572095E-10
3.361344537815116E-6      1.1238901888160848E-10
3.781512605042006E-6      1.1237848086108678E-10
4.2016806722688975E-6     1.1236670467415573E-10
4.621848739495788E-6      1.1235369032081545E-10
5.0420168067226796E-6     1.1233943780106588E-10
5.46218487394957E-6       1.1232394711490702E-10
5.882352941176461E-6      1.1230721826233888E-10
6.302521008403353E-6      1.122892504768095E-10
6.722689075630246E-6      1.1227004741371035E-10
7.1428571428571385E-6     1.1224960907304135E-10
7.563025210084031E-6      1.1222793545480262E-10
7.983193277310924E-6      1.1220502655899407E-10
8.403361344537817E-6      1.1218088238561572E-10
8.823529411764708E-6      1.1215550293466757E-10
9.2436974789916E-6        1.1212888817218978E-10
9.66386554621849E-6       1.1210104245180124E-10
1.0084033613445381E-5     1.1207196577350191E-10
1.0504201680672271E-5     1.1204165813729184E-10
1.0924369747899162E-5     1.1201011954317101E-10
1.1344537815126054E-5     1.1197734999113939E-10
1.1764705882352944E-5     1.1194334948119702E-10
1.2184873949579835E-5     1.1190811871412295E-10
1.2605042016806726E-5     1.1187166274071975E-10
1.3025210084033616E-5     1.1183398156098737E-10
1.3445378151260506E-5     1.117950751749259E-10
1.3865546218487399E-5     1.1175494358253527E-10
1.4285714285714289E-5     1.117135867838155E-10
1.470588235294118E-5      1.1167100477876657E-10
1.5126050420168068E-5     1.116271989929803E-10
1.5546218487394955E-5     1.1158217517601523E-10
1.5966386554621844E-5     1.1153593332787129E-10
1.638655462184873E-5      1.1148847344854859E-10
1.6806722689075617E-5     1.1143979553804704E-10
1.7226890756302507E-5     1.1138989959636666E-10
1.7647058823529393E-5     1.1133878562350746E-10
1.8067226890756286E-5     1.1128645576453591E-10
1.8487394957983176E-5     1.112329164633823E-10
1.8907563025210073E-5     1.1117816772004655E-10
