% Model:              PLacek_MembTVNJ_ArticleDims_Rh20um_hg5um_To2MHz_PHedit.mph
% Version:            COMSOL 6.3.0.335
% Date:               May 22 2025, 10:43
% Dimension:          1
% Nodes:              555
% Expressions:        2
% Description:        Global
% f (Hz)                  ,                        , 
20                        -6.464625585408158E-11   8.033024688099587E-14
50                        -6.464229338377601E-11   2.0029291597154664E-13
100                       -6.463486746107527E-11   3.9694161596809325E-13
200                       -6.461592474819874E-11   7.872997386134484E-13
500                       -6.449629470062044E-11   1.9507952448286407E-12
1000                      -6.409806463800236E-11   3.8106100811967736E-12
1258.9254117941675        -6.381345425601473E-11   4.7226525452176066E-12
1584.893192461114         -6.339472116451966E-11   5.8185982833123534E-12
1995.2623149688789        -6.278716002019534E-11   7.116537879121783E-12
2511.88643150958          -6.191589740819531E-11   8.62339904348179E-12
3162.2776601683795        -6.068220038265897E-11   1.0319720303682432E-11
3981.0717055349733        -5.897007191467861E-11   1.2135041415878334E-11
5011.872336272725         -5.667508891151291E-11   1.39213881558652E-11
6309.57344480193          -5.3761431604663886E-11  1.5446476525434502E-11
7943.282347242814         -5.032937737207098E-11   1.643664129364829E-11
10000                     -4.664228311266762E-11   1.6677526012594663E-11
12589.254117941662        -4.3063828404179845E-11  1.6121797380750104E-11
15848.93192461114         -3.992673504302159E-11   1.491902247539927E-11
19952.62314968879         -3.742549857926991E-11   1.3341359934194347E-11
25118.864315095823        -3.5599769717283414E-11  1.1670396193840029E-11
31622.776601683792        -3.438998653177098E-11   1.0122673879773079E-11
39810.71705534969         -3.370911504833307E-11   8.834950995783344E-12
50118.72336272725         -3.349737721198093E-11   7.887854402692223E-12
63095.7344480193          -3.3760213766582125E-11  7.345505676125976E-12
79432.82347242821         -3.46087251374088E-11    7.309409683209782E-12
100000                    -3.633688916735164E-11   8.021851389912099E-12
102329.29922807537        -3.657864948434334E-11   8.15343834212333E-12
104712.85480508985        -3.6836155322557654E-11  8.299416267153557E-12
107151.9305237607         -3.711043330023599E-11   8.460995977271263E-12
109647.8196143185         -3.7402595604569605E-11  8.63954398121048E-12
112201.84543019629        -3.77138469607528E-11    8.83660629294703E-12
114815.36214968817        -3.8045491910195246E-11  9.05393653389977E-12
117489.75549395304        -3.8398942264454244E-11  9.293529216856105E-12
120226.4434617413         -3.87757245205029E-11    9.557659306901665E-12
123026.87708123811        -3.91774869051571E-11    9.848929410677353E-12
125892.54117941661        -3.960600554735152E-11   1.0170326268735805E-11
128824.95516931349        -4.0063189034343816E-11  1.0525288631414823E-11
131825.67385564075        -4.0551080258048163E-11  1.0917789105211593E-11
134896.28825916533        -4.1071853954056965E-11  1.1352433198048943E-11
138038.42646028838        -4.1627807611737186E-11  1.183457958842072E-11
141253.75446227554        -4.222134238464132E-11   1.2370486639877335E-11
144543.9770745928         -4.2854929113278754E-11  1.2967491410507516E-11
147910.83881682073        -4.3531052362793413E-11  1.3634228901644638E-11
151356.12484362072        -4.425212216198666E-11   1.4380901066048455E-11
154881.66189124828        -4.502033841904047E-11   1.521960711668422E-11
158489.3192461114         -4.583748608538657E-11   1.6164748812815154E-11
162181.009735893          -4.670462899404617E-11   1.7233526296094904E-11
165958.69074375596        -4.762165540027964E-11   1.8446540951839756E-11
169824.3652461746         -4.8586606409660154E-11  1.982852012097203E-11
173780.08287493762        -4.959468669093657E-11   2.1409171265656508E-11
177827.94100389228        -5.0636811196361065E-11  2.3224154625312178E-11
181970.08586099825        -5.169747758499206E-11   2.5316122825402074E-11
186208.71366628655        -5.2751668306923446E-11  2.773569397553109E-11
190546.07179632483        -5.37603813727315E-11    3.054206765802235E-11
194984.45997580455        -5.4664285313518293E-11  3.3802704388888696E-11
199526.2314968879         -5.537495816207708E-11   3.7590982432250545E-11
204173.79446695274        -5.5763372238851314E-11  4.197991254185473E-11
208929.6130854041         -5.564610182645054E-11   4.702876227048374E-11
213796.20895022326        -5.477187445781798E-11   5.275800496062195E-11
218776.16239495517        -5.281561957791822E-11   5.910736296542213E-11
223872.11385683378        -4.9394809599291036E-11  6.587467965428744E-11
229086.76527677747        -4.413139386973159E-11   7.264532467000895E-11
230000.0000000001         -4.3013611353212654E-11  7.377008423327873E-11
231061.63176403087        -4.1640309647934867E-11  7.504220265210238E-11
232128.16379763727        -4.018149562358873E-11   7.627572793557882E-11
233199.6187194365         -3.8637518862735805E-11  7.746346216857679E-11
234276.019252447          -3.700943753828264E-11   7.859798373658372E-11
235357.38822457343        -3.529907569384802E-11   7.96717249961954E-11
236443.74856908878        -3.3509071582260404E-11  8.067706218565532E-11
237535.12332512165        -3.164291443260509E-11   8.160641662179693E-11
238631.53563814302        -2.970496707187406E-11   8.245236561459606E-11
239733.00876045992        -2.7700472033861633E-11  8.320776094120572E-11
240839.56605170676        -2.5635539135863674E-11  8.386585211337835E-11
241951.2309793415         -2.351711302145275E-11   8.442041114494813E-11
243068.02711914157        -2.135291982010922E-11   8.486585509439946E-11
244189.97815570666        -1.9151392867737377E-11  8.519736238016601E-11
245317.10788295916        -1.6921578292680558E-11  8.541097876613529E-11
246449.44020464973        -1.4673022185900247E-11  8.550370903084711E-11
247586.99913486216        -1.2415641960073419E-11  8.547359068608629E-11
248729.80879852574        -1.0159585314514336E-11  8.5319746651592E-11
249877.89343192492        -7.915080878117343E-12   8.504241457857075E-11
249999.99999999994        -7.678067284581026E-12   8.50057940151041E-11
252894.8635649745         -2.19256317624344E-12    8.375236405060002E-11
255823.24807018833        3.002287303619066E-12    8.179177115226673E-11
258785.5416698357         7.779721988795998E-12    7.92117616273594E-11
261782.13701272456        1.2044458723739646E-11   7.612563111790562E-11
264813.43129432236        1.5736988302331278E-11   7.265986817135406E-11
267879.82630940166        1.8832929798022757E-11   6.894215201396901E-11
270981.7285053009         2.133853133133279E-11    6.509153668172194E-11
274119.5490357962         2.3283905268313265E-11   6.121177214648401E-11
277293.70381560014        2.4715563501711095E-11   5.7387855490795975E-11
280504.61357549066        2.568944785869286E-11    5.3685306653302927E-11
283752.7039180785         2.6265159391983564E-11   5.015138690913196E-11
287038.40537422034        2.6501648574777493E-11   4.681746365677187E-11
290362.15346008586        2.6454317556817E-11      4.370186422970388E-11
293724.3887348825         2.617331461643333E-11    4.0812755734884026E-11
297125.55685925466        2.5702739879691217E-11   3.815077270799644E-11
300566.1086543532         2.5080489844034644E-11   3.5711259319117034E-11
304046.5001615919         2.4338511353241144E-11   3.348609162195509E-11
307567.1927030952         2.350328948979082E-11    3.1465104172195603E-11
311128.652942846          2.259644487707644E-11    2.963717480999814E-11
314731.35294854146        2.163535816572579E-11    2.7991031807120406E-11
318375.77025416563        2.0633771646317575E-11   2.6515847071732605E-11
322062.3879232836         1.9602340982285177E-11   2.520167336302824E-11
325791.69461307494        1.8549125869584623E-11   2.4039776145192805E-11
329564.1846391018         1.748001909573893E-11    2.302290395867413E-11
333380.35804083094        1.639912092605983E-11    2.2145536253773998E-11
337240.72064791323        1.5309071801420716E-11   2.1404145273726847E-11
341145.78414723085        1.4211362819254534E-11   2.0797509362932743E-11
345096.0661507209         1.310665261606629E-11    2.0327119636424446E-11
349092.090263984          1.199513430449451E-11    1.9997731015650038E-11
353134.3861556888         1.0877022379591195E-11   1.9818123017721357E-11
357223.4896277758         9.75327641065531E-12     1.980215561897962E-11
361359.9426864819         8.626763043626521E-12    1.9970228821384576E-11
365544.2936141795         7.504211891629084E-12    2.035127118585336E-11
369777.09704205167        6.399601604691444E-12    2.0985359848035096E-11
374058.9140236081         5.3401191197147904E-12   2.1926917528008578E-11
378390.3121090517         4.376717975310516E-12    2.3247881515944416E-11
382771.8654205071         3.602691928130213E-12    2.5038620518550524E-11
387204.1547281206         3.1852412601308475E-12   2.740005483151459E-11
391687.7675270374         3.41405478703857E-12     3.041008391825929E-11
396223.2981152784         4.7564200260278225E-12   3.402746588483326E-11
400811.3476725103         7.849887850381467E-12    3.787948012615665E-11
405452.52433973236        1.3232686222167866E-11   4.095785292027272E-11
410147.44329988456        2.0600128850544188E-11   4.1619434381393565E-11
414896.7268593898         2.8143555605759274E-11   3.862391597808584E-11
419701.0045306396         3.348012575360477E-11    3.260205936589276E-11
424560.9131154364         3.5620260893179044E-11   2.56521087656261E-11
429477.09678939724        3.524397864281008E-11    1.949479972352662E-11
434450.20718734397        3.350703816181358E-11    1.4731655981201426E-11
439480.90348967316        3.125768298593898E-11    1.1266216401714355E-11
444569.85250973055        2.8947974702583038E-11   8.795067810142994E-12
449717.7287821967         2.6773966986036927E-11   7.030643593468097E-12
454925.2146524955         2.4801118153507865E-11   5.75608901244259E-12
460193.0003672385         2.303642610711339E-11    4.820466720575687E-12
465521.78416571626        2.1463823871078047E-11   4.1215476466945905E-12
470912.2723724504         2.0060164919511728E-11   3.590389844949722E-12
476365.17949081195        1.880194438057224E-11    3.180208230689473E-12
481881.22829773405        1.7667819458422533E-11   2.8589074466368013E-12
487461.14993951126        1.6639301580424642E-11   2.6041982518337047E-12
493105.6840287132         1.5700698506577508E-11   2.400420631124617E-12
498815.57874221954        1.4838784980712737E-11   2.2364699049006925E-12
