% Model:              ModelMicPlate_Rh20um_hg5um_Refined_MaterialDefPolySilicon.mph
% Version:            COMSOL 6.3.0.420
% Date:               Aug 26 2025, 17:26
% Dimension:          1
% Nodes:              593
% Expressions:        2
% Description:        Global
% freq (Hz)               Re xi all, Im xi all     Re xi all, Im xi all
10                        -4.566205046413691E-11   1.7803563771393508E-14
20                        -4.566198147648352E-11   3.5606773642909647E-14
50                        -4.5661501595662143E-11  8.901075533550055E-14
100                       -4.565978697007506E-11   1.7797744514040958E-13
200                       -4.56529563970637E-11    3.5560503041206084E-13
500                       -4.560629350602191E-11   8.831691822548801E-13
1000                      -4.545292752146247E-11   1.7309580085342665E-12
1258.9254117941675        -4.5343944793811634E-11  2.150661693075407E-12
1584.893192461114         -4.518418544239315E-11   2.6599281067716887E-12
1995.2623149688789        -4.49528554773809E-11    3.2722610641225918E-12
2511.88643150958          -4.462024360710566E-11   4.000123333895535E-12
3162.2776601683795        -4.414392857071214E-11   4.8501028431552025E-12
3981.0717055349733        -4.34669359107336E-11    5.813130727493869E-12
5011.872336272725         -4.252272942730854E-11   6.8500012229444336E-12
6309.57344480193          -4.125295297288671E-11   7.877047780564813E-12
7943.282347242814         -3.963816181815505E-11   8.763046782135621E-12
10000                     -3.7743058491129814E-11  9.358965200739798E-12
12589.254117941662        -3.5718487385211464E-11  9.55095407117656E-12
15848.93192461114         -3.377087000849254E-11   9.32211404758258E-12
19952.62314968879         -3.208749716649435E-11   8.765784257958365E-12
25118.864315095823        -3.078027985576044E-11   8.042981038695658E-12
31622.776601683792        -2.9880788407225055E-11  7.321112543955878E-12
39810.71705534969         -2.9375748561615945E-11  6.737131510169974E-12
50118.72336272725         -2.925274559790884E-11   6.396832665076474E-12
63095.7344480193          -2.954138287681761E-11   6.402457452762934E-12
79432.82347242821         -3.0356652581299345E-11  6.909355347268319E-12
100000                    -3.196857293068969E-11   8.254403201870056E-12
101937.34859388738        -3.2153441353357246E-11  8.425129313770429E-12
103912.2303835169         -3.2347879535571265E-11  8.607882785633432E-12
105925.37251772897        -3.2552355480429094E-11  8.803557606112152E-12
107977.51623277094        -3.276736186207251E-11   9.013140809895211E-12
110069.41712522104        -3.2993416026944505E-11  9.237723900366505E-12
112201.84543019629        -3.323105969040567E-11   9.478515991348058E-12
114375.58630495389        -3.348085815398468E-11   9.736858859883139E-12
116591.4401179831         -3.374339906095351E-11   1.0014244410238971E-11
118850.22274370189        -3.401928957696418E-11   1.0312334297111154E-11
121152.76586285877        -3.43091534019818E-11    1.063298327787119E-11
123499.91726875851        -3.461362515138332E-11   1.0978265420127982E-11
125892.54117941661        -3.4933343022061934E-11  1.1350504720660239E-11
128331.51855576513        -3.526893864001299E-11   1.1752310471960053E-11
